"cutoff","target","tissue","phenotype","module","module_size","gene","correlation"
"8","APP","DLPFC","AD","PPP2CA",90,"PPP2CA",1
"8","APP","DLPFC","AD","PPP2CA",90,"EPB41L3",0.914
"8","APP","DLPFC","AD","PPP2CA",90,"NPTN",0.907
"8","APP","DLPFC","AD","PPP2CA",90,"SNAP91",0.907
"8","APP","DLPFC","AD","PPP2CA",90,"YWHAG",0.907
"8","APP","DLPFC","AD","PPP2CA",90,"CAP2",0.906
"8","APP","DLPFC","AD","PPP2CA",90,"WDR47",0.9
"8","APP","DLPFC","AD","PPP2CA",90,"SYNJ1",0.899
"8","APP","DLPFC","AD","PPP2CA",90,"PRKCE",0.897
"8","APP","DLPFC","AD","PPP2CA",90,"DNAJC6",0.897
"8","APP","DLPFC","AD","PPP2CA",90,"GUCY1B1",0.896
"8","APP","DLPFC","AD","PPP2CA",90,"HCN1",0.896
"8","APP","DLPFC","AD","PPP2CA",90,"DLGAP1",0.895
"8","APP","DLPFC","AD","PPP2CA",90,"TBC1D9",0.894
"8","APP","DLPFC","AD","PPP2CA",90,"OPCML",0.893
"8","APP","DLPFC","AD","PPP2CA",90,"ATP2B2",0.891
"8","APP","DLPFC","AD","PPP2CA",90,"STXBP1",0.891
"8","APP","DLPFC","AD","PPP2CA",90,"NSF",0.89
"8","APP","DLPFC","AD","PPP2CA",90,"KCNQ5",0.889
"8","APP","DLPFC","AD","PPP2CA",90,"GABRA1",0.889
"8","APP","DLPFC","AD","PPP2CA",90,"SV2A",0.887
"8","APP","DLPFC","AD","PPP2CA",90,"MARK1",0.886
"8","APP","DLPFC","AD","PPP2CA",90,"ATP6V1C1",0.884
"8","APP","DLPFC","AD","PPP2CA",90,"PJA2",0.883
"8","APP","DLPFC","AD","PPP2CA",90,"ATP2A2",0.88
"8","APP","DLPFC","AD","PPP2CA",90,"RASGRF1",0.878
"8","APP","DLPFC","AD","PPP2CA",90,"CNTNAP2",0.878
"8","APP","DLPFC","AD","PPP2CA",90,"PRKACB",0.877
"8","APP","DLPFC","AD","PPP2CA",90,"SNAP25",0.877
"8","APP","DLPFC","AD","PPP2CA",90,"ATL1",0.877
"8","APP","DLPFC","AD","ATP1B1",90,"ATP1B1",1
"8","APP","DLPFC","AD","ATP1B1",90,"MAPK9",0.928
"8","APP","DLPFC","AD","ATP1B1",90,"NDRG4",0.928
"8","APP","DLPFC","AD","ATP1B1",90,"GOT1",0.926
"8","APP","DLPFC","AD","ATP1B1",90,"RCAN2",0.925
"8","APP","DLPFC","AD","ATP1B1",90,"EPB41L3",0.924
"8","APP","DLPFC","AD","ATP1B1",90,"ATP1A3",0.923
"8","APP","DLPFC","AD","ATP1B1",90,"SV2A",0.921
"8","APP","DLPFC","AD","ATP1B1",90,"VSNL1",0.918
"8","APP","DLPFC","AD","ATP1B1",90,"YWHAG",0.916
"8","APP","DLPFC","AD","ATP1B1",90,"SYNJ1",0.915
"8","APP","DLPFC","AD","ATP1B1",90,"NPTN",0.915
"8","APP","DLPFC","AD","ATP1B1",90,"HCN1",0.911
"8","APP","DLPFC","AD","ATP1B1",90,"MDH1",0.909
"8","APP","DLPFC","AD","ATP1B1",90,"SNAP25",0.907
"8","APP","DLPFC","AD","ATP1B1",90,"LRP11",0.906
