tipo_celular,module_size,ANAPC5_MM,ANAPC5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.267,75.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,624,0.132,32.0,142,16,11.27,4.06 (3.66-4.45),126,88.73,3.08 (2.79-3.38)
astrocytes 5,1656,0.109,39.0,136,3,2.21,3.37 (1.84-4.90),133,97.79,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285,0.132,45.0,353,55,15.58,2.59 (2.21-2.98),298,84.42,4.20 (4.01-4.39)
GABA neurons expressing GLU receptors 22,848,0.185,40.0,262,22,8.4,3.10 (2.44-3.75),240,91.6,4.29 (4.03-4.55)
GLU like neurons 17,637,0.101,21.0,91,13,14.29,1.37 (0.74-2.01),78,85.71,5.30 (4.87-5.73)
da like neurons 11,408,0.089,16.0,25,8,32.0,1.42 (0.83-2.00),17,68.0,6.74 (5.82-7.67)
GABA neurons expressing GABA receptors 13,265,0.151,45.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,1653,0.074,9.0,297,22,7.41,3.98 (3.67-4.30),275,92.59,3.64 (3.42-3.86)
oligodendrocytes 20,938,0.178,73.0,169,17,10.06,3.31 (2.59-4.04),152,89.94,3.50 (3.27-3.73)
GABA like neurons 14,2402,0.242,53.0,455,37,8.13,2.49 (2.00-2.97),418,91.87,4.58 (4.39-4.76)
astrocytes 8,771,0.188,65.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708,0.157,66.0,32,9,28.12,1.14 (0.35-1.92),23,71.88,4.09 (3.25-4.93)
oligodendrocytes 10,2107,0.121,39.0,358,65,18.16,2.55 (2.21-2.89),293,81.84,4.27 (4.07-4.47)
connective tissue cells 21,110,0.309,73.0,13,5,38.46,2.88 (1.92-3.85),8,61.54,3.26 (2.01-4.50)
astrocytes 15,443,0.154,52.0,9,7,77.78,3.73 (2.40-5.05),2,22.22,1.89 (-1.31-5.09)
oligodendrocytes 16,107,0.126,3.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,409,0.115,44.0,235,9,3.83,2.41 (1.58-3.24),226,96.17,4.06 (3.81-4.32)
astrocytes microglia 23,132,0.263,23.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787,0.142,34.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.112,10.0,300,17,5.67,4.15 (3.80-4.50),283,94.33,3.77 (3.55-3.98)
microglia 1,1615,0.104,42.0,161,42,26.09,2.48 (2.00-2.95),119,73.91,3.62 (3.32-3.92)
oligodendrocytes 3,639,0.117,65.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,526,0.084,3.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
