tipo_celular,module_size,DNER_MM,DNER_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.493,98.0,140,11,7.86,3.61 (2.29-4.93),129,92.14,4.60 (4.15-5.04)
T cells 18,282,0.358,92.0,241,2,0.83,2.33 (2.22-2.45),239,99.17,4.08 (3.82-4.33)
astrocytes 5,322,0.333,92.0,58,9,15.52,3.79 (3.00-4.59),49,84.48,4.26 (3.77-4.75)
oligodendrocyte progenitor cells 7,628,0.281,87.0,164,6,3.66,3.87 (2.49-5.25),158,96.34,4.10 (3.76-4.43)
GABA neurons expressing GLU receptors 22,848,0.211,50.0,262,23,8.78,3.39 (2.65-4.12),239,91.22,4.26 (4.00-4.52)
GLU like neurons 17,685,0.209,79.0,135,6,4.44,2.77 (1.19-4.36),129,95.56,3.21 (2.90-3.52)
da like neurons 11,59,0.509,97.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357,0.495,100.0,237,5,2.11,4.56 (2.21-6.92),232,97.89,4.40 (4.17-4.63)
endothelial cells 9,338,0.432,96.0,191,3,1.57,2.81 (2.08-3.54),188,98.43,3.91 (3.68-4.13)
oligodendrocytes 20,676,0.175,41.0,110,18,16.36,5.03 (4.21-5.86),92,83.64,4.98 (4.45-5.51)
GABA like neurons 14,2402,0.116,13.0,455,17,3.74,2.18 (1.43-2.94),438,96.26,4.46 (4.28-4.64)
astrocytes 8,520,0.264,82.0,288,15,5.21,2.75 (2.20-3.29),273,94.79,4.27 (4.06-4.47)
oligodendrocyte progenitor cells 12,411,0.233,62.0,103,9,8.74,5.54 (3.64-7.44),94,91.26,5.55 (5.16-5.93)
oligodendrocytes 10,806,0.546,97.0,261,19,7.28,3.78 (2.90-4.67),242,92.72,4.42 (4.17-4.67)
connective tissue cells 21,250,0.372,67.0,117,24,20.51,4.23 (3.49-4.98),93,79.49,5.82 (5.40-6.24)
astrocytes 15,1401,0.15,89.0,96,2,2.08,2.44 (1.57-3.31),94,97.92,3.64 (3.18-4.10)
oligodendrocytes 16,313,0.276,68.0,291,12,4.12,2.39 (1.92-2.86),279,95.88,4.43 (4.20-4.65)
da neurons 6,300,0.511,100.0,159,2,1.26,3.95 (2.83-5.06),157,98.74,4.37 (4.06-4.68)
astrocytes microglia 23,89,0.285,52.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171,0.17,48.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,261,0.114,13.0,42,9,21.43,4.26 (3.09-5.42),33,78.57,4.00 (3.15-4.85)
microglia 1,214,0.452,94.0,227,8,3.52,3.97 (2.42-5.52),219,96.48,4.10 (3.86-4.33)
oligodendrocytes 3,116,0.309,84.0,7,0,0.0,NA,7,100.0,3.71 (1.38-6.05)
oligodendrocytes 2,99,0.166,24.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26)
