tipo_celular,module_size,STMN2_MM,STMN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.397,93.0,140,11,7.86,5.64 (4.00-7.29),129,92.14,4.44 (4.00-4.87)
T cells 18,282,0.545,98.0,241,8,3.32,5.53 (3.48-7.58),233,96.68,4.01 (3.76-4.26)
astrocytes 5,228,0.49,98.0,266,26,9.77,4.39 (3.30-5.48),240,90.23,4.08 (3.88-4.28)
oligodendrocyte progenitor cells 7,296,0.503,97.0,251,5,1.99,5.03 (3.19-6.87),246,98.01,4.04 (3.80-4.28)
GABA neurons expressing GLU receptors 22,848,0.205,48.0,262,28,10.69,4.73 (3.83-5.63),234,89.31,4.07 (3.82-4.32)
GLU like neurons 17,1316,0.315,100.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,1220,0.555,99.0,410,9,2.2,3.44 (1.61-5.28),401,97.8,4.26 (4.08-4.45)
GABA neurons expressing GABA receptors 13,417,0.256,91.0,213,10,4.69,1.94 (1.17-2.71),203,95.31,3.87 (3.62-4.12)
endothelial cells 9,338,0.54,99.0,191,3,1.57,2.23 (NA-NA),188,98.43,3.90 (3.67-4.12)
oligodendrocytes 20,228,0.108,16.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,2402,0.654,97.0,455,10,2.2,2.26 (1.38-3.13),445,97.8,4.40 (4.21-4.59)
astrocytes 8,520,0.549,99.0,288,18,6.25,4.41 (3.29-5.53),270,93.75,4.16 (3.96-4.36)
oligodendrocyte progenitor cells 12,3303,0.107,81.0,276,9,3.26,2.36 (1.37-3.34),267,96.74,3.59 (3.37-3.82)
oligodendrocytes 10,806,0.654,99.0,261,38,14.56,5.64 (5.01-6.27),223,85.44,4.18 (3.93-4.43)
connective tissue cells 21,101,0.593,96.0,116,17,14.66,4.75 (3.28-6.22),99,85.34,4.59 (4.16-5.02)
astrocytes 15,261,0.273,92.0,8,3,37.5,1.89 (-1.31-5.09),5,62.5,4.39 (1.96-6.83)
oligodendrocytes 16,313,0.571,98.0,291,5,1.72,4.47 (1.65-7.28),286,98.28,4.32 (4.10-4.54)
da neurons 6,729,0.209,76.0,182,2,1.1,2.87 (2.83-2.90),180,98.9,3.65 (3.39-3.90)
astrocytes microglia 23,70,0.358,61.0,76,6,7.89,6.18 (4.41-7.94),70,92.11,3.99 (3.49-4.49)
astrocytes 4,157,0.446,91.0,178,19,10.67,4.84 (3.26-6.41),159,89.33,4.08 (3.82-4.33)
oligodendrocytes 0,116,0.356,83.0,169,5,2.96,7.70 (7.70-7.70),164,97.04,4.22 (3.93-4.51)
microglia 1,214,0.512,97.0,227,8,3.52,5.07 (3.77-6.38),219,96.48,4.06 (3.82-4.30)
oligodendrocytes 3,457,0.488,100.0,345,19,5.51,4.23 (2.86-5.60),326,94.49,4.28 (4.07-4.48)
oligodendrocytes 2,99,0.463,88.0,116,4,3.45,7.70 (NA-NA),112,96.55,3.91 (3.62-4.20)
