tipo_celular,module_size,FNDC3A_MM,FNDC3A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.408,95.0,102,1,0.98,0.95 (NA-NA),101,99.02,3.53 (3.16-3.89)
T cells 18,727,0.106,21.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.183,96.0,166,3,1.81,0.43 (0.21-0.66),163,98.19,3.46 (3.21-3.70)
oligodendrocyte progenitor cells 7,448,0.101,21.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,203,0.115,6.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,380,0.181,57.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,89,0.13,24.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,265,0.117,25.0,78,1,1.28,3.31 (NA-NA),77,98.72,4.38 (3.96-4.80)
endothelial cells 9,1653,0.182,84.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,298,0.188,68.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300,0.136,19.0,306,8,2.61,2.63 (1.74-3.52),298,97.39,5.19 (4.93-5.45)
astrocytes 8,218,0.238,88.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,254,0.364,74.0,37,2,5.41,2.88 (2.28-3.48),35,94.59,4.61 (4.01-5.21)
oligodendrocytes 10,2107,0.294,89.0,358,12,3.35,1.10 (0.48-1.71),346,96.65,3.99 (3.81-4.18)
connective tissue cells 21,152,0.195,17.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,1401,0.07,35.0,96,1,1.04,4.22 (NA-NA),95,98.96,3.60 (3.15-4.06)
oligodendrocytes 16,113,0.186,59.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,398,0.116,32.0,138,6,4.35,2.35 (1.07-3.63),132,95.65,4.96 (4.59-5.32)
astrocytes microglia 23,253,0.283,69.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,752,0.174,81.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186,0.168,85.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,480,0.168,39.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,1003,0.13,77.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804,0.198,88.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09)
