tipo_celular,module_size,KLHDC2_MM,KLHDC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.12,26.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93)
T cells 18,518,0.135,34.0,131,1,0.76,3.50 (NA-NA),130,99.24,3.07 (2.79-3.35)
astrocytes 5,1656,0.126,68.0,136,4,2.94,3.37 (1.84-4.90),132,97.06,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,628,0.13,24.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43)
GABA neurons expressing GLU receptors 22,1069,0.141,32.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,489,0.078,10.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,1220,0.138,33.0,410,18,4.39,2.86 (2.32-3.40),392,95.61,4.34 (4.15-4.53)
GABA neurons expressing GABA receptors 13,67,0.118,11.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,586,0.069,7.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,253,0.175,59.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.213,45.0,455,33,7.25,2.28 (1.82-2.74),422,92.75,4.57 (4.39-4.76)
astrocytes 8,603,0.068,43.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20)
oligodendrocyte progenitor cells 12,3303,0.113,85.0,276,34,12.32,2.82 (2.41-3.24),242,87.68,3.68 (3.43-3.92)
oligodendrocytes 10,806,0.108,30.0,261,4,1.53,1.85 (1.43-2.27),257,98.47,4.42 (4.18-4.66)
connective tissue cells 21,118,0.301,53.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,1768,0.06,23.0,105,31,29.52,2.68 (2.21-3.15),74,70.48,3.45 (3.02-3.88)
oligodendrocytes 16,112,0.149,26.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,448,0.1,48.0,43,2,4.65,3.48 (2.88-4.07),41,95.35,3.27 (2.72-3.82)
astrocytes microglia 23,161,0.29,40.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,1807,0.165,85.0,104,26,25.0,2.28 (1.79-2.78),78,75.0,3.07 (2.74-3.39)
oligodendrocytes 0,613,0.123,29.0,127,9,7.09,2.96 (2.18-3.73),118,92.91,3.06 (2.61-3.51)
microglia 1,1615,0.095,28.0,161,33,20.5,2.31 (1.80-2.83),128,79.5,3.58 (3.29-3.87)
oligodendrocytes 3,681,0.094,49.0,87,24,27.59,2.18 (1.68-2.69),63,72.41,2.74 (2.43-3.06)
oligodendrocytes 2,1630,0.111,7.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52)
