tipo_celular,module_size,FBXL17_MM,FBXL17_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.15,22.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,388,0.134,41.0,84,1,1.19,3.61 (NA-NA),83,98.81,2.97 (2.63-3.30)
astrocytes 5,118,0.206,40.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,436,0.083,18.0,219,7,3.2,3.29 (2.68-3.89),212,96.8,5.31 (5.02-5.60)
GABA neurons expressing GLU receptors 22,459,0.274,85.0,165,14,8.48,2.59 (2.01-3.18),151,91.52,5.41 (5.08-5.75)
GLU like neurons 17,795,0.203,78.0,80,1,1.25,4.37 (NA-NA),79,98.75,5.70 (5.29-6.12)
da like neurons 11,71,0.554,100.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,238,0.183,60.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653,0.205,91.0,297,9,3.03,4.56 (3.96-5.16),288,96.97,3.65 (3.44-3.86)
oligodendrocytes 20,233,0.211,58.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,1300,0.235,63.0,306,22,7.19,2.67 (2.18-3.16),284,92.81,5.38 (5.12-5.64)
astrocytes 8,279,0.317,72.0,78,12,15.38,2.75 (2.32-3.18),66,84.62,4.66 (4.21-5.10)
oligodendrocyte progenitor cells 12,254,0.311,59.0,37,11,29.73,3.31 (2.83-3.79),26,70.27,5.15 (4.43-5.86)
oligodendrocytes 10,2107,0.171,59.0,358,47,13.13,2.47 (2.02-2.91),311,86.87,4.15 (3.95-4.34)
connective tissue cells 21,104,0.238,26.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,208,0.482,88.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81)
oligodendrocytes 16,108,0.203,67.0,5,1,20.0,2.46 (NA-NA),4,80.0,4.35 (3.43-5.27)
da neurons 6,398,0.135,44.0,138,19,13.77,2.41 (1.85-2.98),119,86.23,5.29 (4.93-5.65)
astrocytes microglia 23,141,0.13,1.0,30,2,6.67,4.61 (4.14-5.08),28,93.33,5.77 (4.80-6.73)
astrocytes 4,220,0.161,48.0,63,9,14.29,3.58 (2.98-4.19),54,85.71,5.49 (4.86-6.11)
oligodendrocytes 0,309,0.137,53.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,1615,0.112,54.0,161,38,23.6,2.46 (1.96-2.97),123,76.4,3.59 (3.29-3.88)
oligodendrocytes 3,854,0.148,92.0,76,5,6.58,2.75 (0.93-4.56),71,93.42,2.78 (2.45-3.12)
oligodendrocytes 2,804,0.175,73.0,84,21,25.0,3.26 (2.61-3.90),63,75.0,2.45 (2.07-2.82)
