tipo_celular,module_size,ATP5F1B_MM,ATP5F1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.293,83.0,140,19,13.57,3.68 (3.30-4.07),121,86.43,4.72 (4.21-5.23)
T cells 18,282,0.38,93.0,241,42,17.43,3.86 (3.62-4.10),199,82.57,4.10 (3.79-4.41)
astrocytes 5,228,0.267,82.0,266,104,39.1,3.41 (3.17-3.64),162,60.9,4.74 (4.45-5.03)
oligodendrocyte progenitor cells 7,296,0.347,92.0,251,44,17.53,3.87 (3.65-4.10),207,82.47,4.12 (3.82-4.42)
GABA neurons expressing GLU receptors 22,848,0.467,97.0,262,25,9.54,3.18 (2.60-3.76),237,90.46,4.28 (4.02-4.55)
GLU like neurons 17,1316,0.089,18.0,101,7,6.93,3.57 (2.12-5.02),94,93.07,3.02 (2.66-3.39)
da like neurons 11,1220,0.473,96.0,410,86,20.98,3.51 (3.28-3.73),324,79.02,4.51 (4.27-4.74)
GABA neurons expressing GABA receptors 13,357,0.165,51.0,237,22,9.28,4.22 (3.97-4.47),215,90.72,4.43 (4.17-4.69)
endothelial cells 9,916,0.217,54.0,302,55,18.21,3.54 (3.30-3.79),247,81.79,4.12 (3.84-4.41)
oligodendrocytes 20,271,0.094,14.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402,0.584,94.0,455,80,17.58,3.10 (2.79-3.42),375,82.42,4.68 (4.48-4.88)
astrocytes 8,520,0.388,94.0,288,67,23.26,3.54 (3.27-3.80),221,76.74,4.40 (4.16-4.65)
oligodendrocyte progenitor cells 12,1049,0.09,48.0,235,49,20.85,3.74 (3.54-3.95),186,79.15,3.85 (3.55-4.15)
oligodendrocytes 10,806,0.425,92.0,261,56,21.46,3.63 (3.33-3.92),205,78.54,4.61 (4.31-4.90)
connective tissue cells 21,101,0.404,73.0,116,46,39.66,3.26 (2.89-3.63),70,60.34,5.74 (5.25-6.23)
astrocytes 15,458,0.046,15.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,313,0.378,85.0,291,54,18.56,3.56 (3.28-3.84),237,81.44,4.53 (4.26-4.79)
da neurons 6,409,0.366,99.0,235,47,20.0,3.39 (3.13-3.66),188,80.0,4.19 (3.87-4.51)
astrocytes microglia 23,70,0.388,76.0,76,5,6.58,5.16 (NA-NA),71,93.42,4.18 (3.65-4.70)
astrocytes 4,157,0.236,67.0,178,83,46.63,3.39 (3.11-3.67),95,53.37,5.04 (4.66-5.43)
oligodendrocytes 0,116,0.177,55.0,169,26,15.38,3.71 (3.17-4.26),143,84.62,4.37 (4.04-4.71)
microglia 1,214,0.306,81.0,227,79,34.8,3.72 (3.52-3.92),148,65.2,4.35 (3.99-4.72)
oligodendrocytes 3,457,0.314,93.0,345,38,11.01,3.71 (3.37-4.06),307,88.99,4.35 (4.12-4.58)
oligodendrocytes 2,99,0.29,62.0,116,18,15.52,3.73 (3.16-4.30),98,84.48,4.00 (3.66-4.35)
