tipo_celular,module_size,INPP5F_MM,INPP5F_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.174,30.0,21,10,47.62,1.69 (0.76-2.61),11,52.38,2.91 (2.21-3.61)
T cells 18,477,0.158,47.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,322,0.09,6.0,58,22,37.93,3.36 (2.87-3.84),36,62.07,4.74 (4.18-5.29)
oligodendrocyte progenitor cells 7,666,0.123,18.0,127,33,25.98,3.57 (2.98-4.17),94,74.02,3.98 (3.58-4.39)
GABA neurons expressing GLU receptors 22,848,0.201,46.0,262,40,15.27,4.12 (3.52-4.72),222,84.73,4.17 (3.90-4.44)
GLU like neurons 17,1316,0.152,74.0,101,4,3.96,2.97 (2.48-3.45),97,96.04,3.06 (2.69-3.42)
da like neurons 11,1220,0.126,27.0,410,25,6.1,3.27 (2.78-3.75),385,93.9,4.34 (4.14-4.53)
GABA neurons expressing GABA receptors 13,238,0.214,72.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,412,0.184,52.0,141,12,8.51,2.98 (2.03-3.92),129,91.49,2.96 (2.71-3.21)
oligodendrocytes 20,271,0.18,55.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402,0.232,51.0,455,39,8.57,2.99 (2.40-3.59),416,91.43,4.52 (4.34-4.71)
astrocytes 8,520,0.104,44.0,288,36,12.5,3.96 (3.36-4.56),252,87.5,4.21 (4.00-4.42)
oligodendrocyte progenitor cells 12,3303,0.145,98.0,276,54,19.57,3.41 (2.87-3.96),222,80.43,3.58 (3.35-3.81)
oligodendrocytes 10,806,0.16,51.0,261,31,11.88,4.47 (3.81-5.13),230,88.12,4.35 (4.09-4.60)
connective tissue cells 21,112,0.271,66.0,7,1,14.29,1.85 (NA-NA),6,85.71,1.97 (1.05-2.89)
astrocytes 15,458,0.091,48.0,36,5,13.89,5.16 (2.70-7.62),31,86.11,3.57 (2.38-4.75)
oligodendrocytes 16,104,0.179,23.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,448,0.28,100.0,43,2,4.65,3.73 (3.62-3.83),41,95.35,3.25 (2.70-3.81)
astrocytes microglia 23,125,0.263,25.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.15,46.0,61,3,4.92,2.86 (0.66-5.06),58,95.08,2.97 (2.55-3.39)
oligodendrocytes 0,187,0.18,57.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,480,0.195,53.0,163,21,12.88,4.08 (3.58-4.59),142,87.12,3.64 (3.35-3.94)
oligodendrocytes 3,242,0.212,79.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347,0.342,92.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
