tipo_celular,module_size,WWOX_MM,WWOX_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.149,35.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349,0.112,23.0,68,8,11.76,2.60 (1.49-3.71),60,88.24,4.69 (4.11-5.27)
astrocytes 5,499,0.119,20.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,436,0.1,29.0,219,8,3.65,3.83 (3.11-4.55),211,96.35,5.29 (4.99-5.59)
GABA neurons expressing GLU receptors 22,459,0.133,37.0,165,15,9.09,2.69 (2.05-3.33),150,90.91,5.42 (5.09-5.76)
GLU like neurons 17,795,0.107,36.0,80,3,3.75,3.14 (1.94-4.35),77,96.25,5.82 (5.42-6.22)
da like neurons 11,408,0.258,67.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04)
GABA neurons expressing GABA receptors 13,288,0.495,97.0,93,12,12.9,2.96 (2.11-3.81),81,87.1,5.59 (5.09-6.09)
endothelial cells 9,1653,0.279,100.0,297,3,1.01,3.85 (1.26-6.43),294,98.99,3.67 (3.47-3.88)
oligodendrocytes 20,676,0.557,84.0,110,11,10.0,2.88 (1.92-3.84),99,90.0,5.34 (4.89-5.78)
GABA like neurons 14,1300,0.31,90.0,306,29,9.48,2.80 (2.34-3.25),277,90.52,5.45 (5.20-5.71)
astrocytes 8,1266,0.29,99.0,66,17,25.76,2.10 (1.32-2.88),49,74.24,3.67 (3.23-4.10)
oligodendrocyte progenitor cells 12,411,0.171,55.0,103,2,1.94,3.83 (1.08-6.58),101,98.06,5.59 (5.20-5.98)
oligodendrocytes 10,1277,0.204,91.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,183,0.169,10.0,32,2,6.25,2.88 (-1.05-6.80),30,93.75,5.28 (4.66-5.89)
astrocytes 15,1401,0.106,68.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,81,0.093,8.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,398,0.506,97.0,138,26,18.84,2.75 (2.21-3.28),112,81.16,5.42 (5.05-5.78)
astrocytes microglia 23,190,0.208,13.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,251,0.173,57.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06)
oligodendrocytes 0,117,0.159,52.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,315,0.093,11.0,144,7,4.86,3.30 (2.38-4.22),137,95.14,4.53 (4.21-4.84)
oligodendrocytes 3,681,0.187,94.0,87,44,50.57,2.15 (1.85-2.45),43,49.43,3.06 (2.64-3.48)
oligodendrocytes 2,407,0.21,89.0,122,47,38.52,2.11 (1.80-2.42),75,61.48,4.50 (3.99-5.02)
