tipo_celular,module_size,RAB21_MM,RAB21_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.303,99.0,71,7,9.86,3.10 (1.84-4.36),64,90.14,2.56 (2.12-2.99)
T cells 18,518,0.174,64.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,423,0.176,67.0,80,2,2.5,2.30 (-0.17-4.76),78,97.5,3.44 (2.95-3.92)
oligodendrocyte progenitor cells 7,4285,0.165,90.0,353,43,12.18,2.72 (2.28-3.16),310,87.82,4.11 (3.92-4.30)
GABA neurons expressing GLU receptors 22,599,0.22,56.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1316,0.221,96.0,101,5,4.95,3.36 (2.42-4.30),96,95.05,3.04 (2.68-3.40)
da like neurons 11,265,0.151,33.0,4,1,25.0,2.74 (NA-NA),3,75.0,1.47 (-0.90-3.84)
GABA neurons expressing GABA receptors 13,101,0.135,27.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,412,0.124,25.0,141,13,9.22,3.08 (2.12-4.05),128,90.78,2.95 (2.70-3.19)
oligodendrocytes 20,228,0.134,24.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,3052,0.186,86.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577,0.112,66.0,83,2,2.41,1.70 (0.08-3.32),81,97.59,3.30 (2.84-3.75)
oligodendrocyte progenitor cells 12,3303,0.071,40.0,276,33,11.96,2.90 (2.48-3.32),243,88.04,3.65 (3.41-3.89)
oligodendrocytes 10,735,0.09,46.0,277,3,1.08,5.17 (5.12-5.21),274,98.92,3.88 (3.64-4.12)
connective tissue cells 21,116,0.25,28.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1401,0.105,67.0,96,11,11.46,3.78 (2.72-4.85),85,88.54,3.59 (3.10-4.08)
oligodendrocytes 16,75,0.2,63.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.092,22.0,124,13,10.48,3.89 (2.73-5.06),111,89.52,4.21 (3.79-4.62)
astrocytes microglia 23,101,0.281,29.0,6,2,33.33,5.62 (NA-NA),4,66.67,3.59 (3.46-3.72)
astrocytes 4,514,0.215,66.0,95,14,14.74,3.23 (2.27-4.19),81,85.26,3.40 (2.93-3.87)
oligodendrocytes 0,613,0.159,66.0,127,7,5.51,3.47 (3.07-3.86),120,94.49,3.01 (2.56-3.46)
microglia 1,480,0.133,19.0,163,11,6.75,4.39 (3.66-5.12),152,93.25,3.67 (3.39-3.94)
oligodendrocytes 3,743,0.085,55.0,76,2,2.63,3.60 (NA-NA),74,97.37,3.15 (2.75-3.55)
oligodendrocytes 2,921,0.159,83.0,200,11,5.5,3.35 (2.73-3.96),189,94.5,3.64 (3.36-3.92)
