tipo_celular,module_size,DSTN_MM,DSTN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.245,72.0,140,1,0.71,4.29 (NA-NA),139,99.29,4.51 (4.08-4.93)
T cells 18,282,0.258,82.0,241,3,1.24,5.26 (2.15-8.38),238,98.76,4.03 (3.78-4.28)
astrocytes 5,228,0.264,82.0,266,20,7.52,2.57 (1.50-3.65),246,92.48,4.24 (4.04-4.44)
oligodendrocyte progenitor cells 7,296,0.305,87.0,251,3,1.2,5.04 (2.46-7.61),248,98.8,4.05 (3.81-4.29)
GABA neurons expressing GLU receptors 22,848,0.24,62.0,262,12,4.58,2.60 (1.34-3.85),250,95.42,4.23 (3.98-4.48)
GLU like neurons 17,489,0.146,55.0,42,1,2.38,7.00 (NA-NA),41,97.62,5.96 (5.38-6.53)
da like neurons 11,1220,0.432,95.0,410,11,2.68,3.79 (1.97-5.61),399,97.32,4.26 (4.07-4.44)
GABA neurons expressing GABA receptors 13,417,0.239,87.0,213,17,7.98,1.76 (0.94-2.57),196,92.02,3.93 (3.69-4.17)
endothelial cells 9,916,0.287,69.0,302,5,1.66,2.67 (1.19-4.15),297,98.34,4.01 (3.78-4.24)
oligodendrocytes 20,938,0.189,76.0,169,11,6.51,2.72 (1.30-4.14),158,93.49,3.52 (3.30-3.74)
GABA like neurons 14,2402,0.699,99.0,455,16,3.52,2.09 (1.08-3.11),439,96.48,4.43 (4.24-4.61)
astrocytes 8,520,0.379,93.0,288,12,4.17,3.79 (1.97-5.61),276,95.83,4.18 (3.98-4.38)
oligodendrocyte progenitor cells 12,708,0.179,70.0,32,6,18.75,0.84 (0.28-1.40),26,81.25,3.90 (3.08-4.73)
oligodendrocytes 10,806,0.445,94.0,261,10,3.83,4.57 (2.54-6.61),251,96.17,4.36 (4.12-4.60)
connective tissue cells 21,301,0.262,19.0,158,1,0.63,0.55 (NA-NA),157,99.37,4.29 (3.92-4.65)
astrocytes 15,443,0.117,24.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,313,0.41,87.0,291,2,0.69,1.39 (-0.26-3.03),289,99.31,4.35 (4.13-4.58)
da neurons 6,409,0.345,98.0,235,3,1.28,3.81 (3.21-4.42),232,98.72,3.98 (3.72-4.23)
astrocytes microglia 23,70,0.292,40.0,76,1,1.32,4.29 (NA-NA),75,98.68,4.20 (3.67-4.73)
astrocytes 4,157,0.227,66.0,178,17,9.55,2.55 (1.16-3.94),161,90.45,4.29 (4.03-4.54)
oligodendrocytes 0,546,0.173,52.0,252,16,6.35,2.07 (1.05-3.08),236,93.65,4.23 (3.98-4.47)
microglia 1,214,0.319,83.0,227,9,3.96,3.92 (3.42-4.43),218,96.04,4.10 (3.85-4.34)
oligodendrocytes 3,457,0.248,89.0,345,13,3.77,3.75 (2.46-5.03),332,96.23,4.29 (4.08-4.50)
oligodendrocytes 2,526,0.37,79.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
