tipo_celular,module_size,IREB2_MM,IREB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.173,51.0,47,1,2.13,5.72 (NA-NA),46,97.87,2.50 (2.03-2.97)
T cells 18,727,0.152,57.0,49,2,4.08,2.79 (2.27-3.31),47,95.92,2.41 (2.00-2.82)
astrocytes 5,1141,0.126,41.0,166,40,24.1,2.97 (2.47-3.48),126,75.9,3.56 (3.27-3.84)
oligodendrocyte progenitor cells 7,4285,0.16,85.0,353,54,15.3,2.66 (2.19-3.13),299,84.7,4.19 (4.00-4.37)
GABA neurons expressing GLU receptors 22,192,0.099,26.0,55,9,16.36,2.62 (2.18-3.07),46,83.64,4.35 (3.90-4.80)
GLU like neurons 17,1316,0.117,45.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,204,0.252,75.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,238,0.14,33.0,36,1,2.78,5.10 (NA-NA),35,97.22,3.84 (3.30-4.37)
endothelial cells 9,1653,0.129,52.0,297,3,1.01,4.78 (2.48-7.09),294,98.99,3.66 (3.45-3.86)
oligodendrocytes 20,403,0.06,25.0,18,10,55.56,1.39 (0.63-2.15),8,44.44,2.49 (1.39-3.59)
GABA like neurons 14,3052,0.154,63.0,125,1,0.8,5.57 (NA-NA),124,99.2,3.33 (3.01-3.65)
astrocytes 8,1266,0.041,7.0,66,11,16.67,1.62 (0.74-2.49),55,83.33,3.61 (3.21-4.02)
oligodendrocyte progenitor cells 12,3303,0.098,72.0,276,40,14.49,2.49 (2.02-2.96),236,85.51,3.78 (3.55-4.01)
oligodendrocytes 10,2107,0.149,51.0,358,63,17.6,2.64 (2.22-3.06),295,82.4,4.23 (4.04-4.42)
connective tissue cells 21,103,0.257,35.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1768,0.135,86.0,105,26,24.76,2.69 (2.00-3.38),79,75.24,3.39 (3.02-3.77)
oligodendrocytes 16,88,0.256,84.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.141,81.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78)
astrocytes microglia 23,41,0.352,65.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57)
astrocytes 4,721,0.18,92.0,61,2,3.28,4.77 (1.41-8.14),59,96.72,2.90 (2.49-3.31)
oligodendrocytes 0,1186,0.137,35.0,300,7,2.33,3.96 (2.96-4.97),293,97.67,3.79 (3.58-4.00)
microglia 1,1615,0.111,51.0,161,43,26.71,2.02 (1.67-2.37),118,73.29,3.88 (3.59-4.16)
oligodendrocytes 3,1003,0.086,40.0,111,9,8.11,4.96 (4.18-5.74),102,91.89,3.14 (2.79-3.49)
oligodendrocytes 2,921,0.142,60.0,200,13,6.5,4.82 (3.97-5.67),187,93.5,3.53 (3.25-3.80)
