tipo_celular,module_size,HNRNPA3_MM,HNRNPA3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.082,5.0,97,1,1.03,NA,96,98.97,3.06 (2.66-3.45)
T cells 18,624,0.187,76.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141,0.105,18.0,166,20,12.05,1.79 (1.34-2.24),146,87.95,3.65 (3.39-3.90)
oligodendrocyte progenitor cells 7,4285,0.15,72.0,353,42,11.9,1.87 (1.53-2.20),311,88.1,4.24 (4.06-4.41)
GABA neurons expressing GLU receptors 22,848,0.212,51.0,262,7,2.67,1.29 (0.42-2.16),255,97.33,4.25 (4.01-4.50)
GLU like neurons 17,1316,0.149,71.0,101,1,0.99,2.83 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,132,0.124,21.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,200,0.111,15.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81)
endothelial cells 9,385,0.171,85.0,275,42,15.27,1.91 (1.58-2.24),233,84.73,4.48 (4.22-4.74)
oligodendrocytes 20,221,0.135,22.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,3052,0.165,72.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603,0.054,28.0,89,11,12.36,1.50 (1.10-1.90),78,87.64,2.99 (2.61-3.37)
oligodendrocyte progenitor cells 12,708,0.071,25.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107,0.164,57.0,358,42,11.73,1.87 (1.53-2.20),316,88.27,4.22 (4.03-4.40)
connective tissue cells 21,142,0.232,10.0,55,7,12.73,1.27 (0.54-1.99),48,87.27,4.13 (3.23-5.04)
astrocytes 15,338,0.09,10.0,14,1,7.14,4.40 (NA-NA),13,92.86,1.55 (0.90-2.20)
oligodendrocytes 16,151,0.149,18.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,448,0.131,75.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,255,0.35,95.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,721,0.143,35.0,61,4,6.56,3.41 (2.76-4.06),57,93.44,2.93 (2.49-3.37)
oligodendrocytes 0,1186,0.15,61.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958,0.116,58.0,290,11,3.79,3.19 (2.85-3.54),279,96.21,3.84 (3.60-4.08)
oligodendrocytes 3,854,0.103,64.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,921,0.142,59.0,200,12,6.0,3.01 (2.58-3.44),188,94.0,3.67 (3.38-3.95)
