tipo_celular,module_size,MYO9A_MM,MYO9A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.228,84.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,727,0.166,66.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.135,55.0,166,11,6.63,3.01 (1.92-4.11),155,93.37,3.42 (3.17-3.68)
oligodendrocyte progenitor cells 7,448,0.12,33.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,459,0.156,50.0,165,20,12.12,3.23 (2.44-4.01),145,87.88,5.41 (5.07-5.75)
GLU like neurons 17,1247,0.174,75.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,204,0.345,96.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,65,0.297,96.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,1653,0.185,85.0,297,1,0.34,8.28 (NA-NA),296,99.66,3.65 (3.45-3.85)
oligodendrocytes 20,279,0.344,83.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,1300,0.169,31.0,306,65,21.24,4.34 (3.79-4.89),241,78.76,5.37 (5.09-5.66)
astrocytes 8,1266,0.091,60.0,66,25,37.88,3.23 (2.53-3.94),41,62.12,3.22 (2.71-3.73)
oligodendrocyte progenitor cells 12,153,0.338,27.0,27,6,22.22,4.13 (1.61-6.66),21,77.78,5.04 (4.05-6.02)
oligodendrocytes 10,2107,0.081,18.0,358,23,6.42,2.12 (1.41-2.83),335,93.58,4.03 (3.84-4.21)
connective tissue cells 21,104,0.283,44.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768,0.103,66.0,105,6,5.71,1.16 (0.57-1.75),99,94.29,3.35 (3.01-3.68)
oligodendrocytes 16,82,0.183,55.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.171,90.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,89,0.236,20.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171,0.117,11.0,22,2,9.09,4.26 (0.90-7.63),20,90.91,4.58 (3.59-5.57)
oligodendrocytes 0,309,0.174,79.0,30,2,6.67,5.16 (5.16-5.16),28,93.33,6.18 (5.53-6.83)
microglia 1,1615,0.114,57.0,161,15,9.32,2.42 (1.39-3.44),146,90.68,3.38 (3.11-3.65)
oligodendrocytes 3,854,0.139,88.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804,0.189,84.0,84,6,7.14,1.62 (0.47-2.77),78,92.86,2.79 (2.45-3.14)
