tipo_celular,module_size,ITSN1_MM,ITSN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.441,98.0,32,11,34.38,4.89 (3.90-5.88),21,65.62,2.92 (1.97-3.88)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,118.0,0.192,24.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,4285.0,0.137,52.0,353,26,7.37,2.37 (1.76-2.98),327,92.63,4.05 (3.86-4.24)
GABA neurons expressing GLU receptors 22,599.0,0.251,70.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1247.0,0.103,27.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,204.0,0.084,12.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,238.0,0.187,63.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653.0,0.218,94.0,297,1,0.34,4.17 (NA-NA),296,99.66,3.67 (3.47-3.88)
oligodendrocytes 20,403.0,0.117,48.0,18,7,38.89,0.96 (0.34-1.58),11,61.11,2.46 (1.57-3.35)
GABA like neurons 14,1300.0,0.268,78.0,306,36,11.76,3.20 (2.58-3.83),270,88.24,5.44 (5.18-5.70)
astrocytes 8,279.0,0.167,12.0,78,14,17.95,2.84 (2.33-3.34),64,82.05,4.64 (4.19-5.09)
oligodendrocyte progenitor cells 12,3303.0,0.144,98.0,276,20,7.25,3.07 (2.26-3.89),256,92.75,3.59 (3.37-3.82)
oligodendrocytes 10,2107.0,0.021,1.0,358,28,7.82,2.28 (1.66-2.90),330,92.18,4.04 (3.85-4.23)
connective tissue cells 21,183.0,0.199,20.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,268.0,0.226,79.0,10,1,10.0,2.74 (NA-NA),9,90.0,3.83 (1.90-5.76)
oligodendrocytes 16,82.0,0.165,36.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.171,74.0,124,4,3.23,2.34 (0.01-4.67),120,96.77,4.25 (3.85-4.64)
astrocytes microglia 23,166.0,0.209,19.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,201.0,0.098,2.0,18,15,83.33,4.21 (3.31-5.11),3,16.67,5.97 (3.68-8.27)
oligodendrocytes 0,1186.0,0.126,23.0,300,9,3.0,3.32 (2.82-3.82),291,97.0,3.81 (3.60-4.02)
microglia 1,480.0,0.24,70.0,163,11,6.75,3.53 (2.72-4.35),152,93.25,3.72 (3.44-4.00)
oligodendrocytes 3,681.0,0.083,38.0,87,7,8.05,1.72 (0.67-2.77),80,91.95,2.67 (2.39-2.94)
oligodendrocytes 2,407.0,0.183,76.0,122,18,14.75,1.72 (1.05-2.38),104,85.25,3.68 (3.27-4.09)
