tipo_celular,module_size,UBE2V2_MM,UBE2V2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.123,26.0,47,2,4.26,3.93 (2.95-4.91),45,95.74,2.51 (2.01-3.01)
T cells 18,518,0.178,65.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,228,0.1,8.0,266,19,7.14,2.42 (1.36-3.49),247,92.86,4.24 (4.04-4.44)
oligodendrocyte progenitor cells 7,296,0.147,28.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848,0.093,5.0,262,22,8.4,3.37 (2.48-4.27),240,91.6,4.23 (3.98-4.49)
GLU like neurons 17,637,0.109,26.0,91,8,8.79,0.65 (0.26-1.05),83,91.21,5.06 (4.62-5.51)
da like neurons 11,1220,0.235,67.0,410,19,4.63,3.36 (2.49-4.23),391,95.37,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,266,0.127,28.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,338,0.113,41.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,938,0.076,25.0,169,18,10.65,3.69 (2.69-4.69),151,89.35,3.46 (3.24-3.68)
GABA like neurons 14,2402,0.331,71.0,455,38,8.35,2.60 (1.99-3.21),417,91.65,4.54 (4.35-4.72)
astrocytes 8,520,0.165,63.0,288,14,4.86,2.74 (1.85-3.64),274,95.14,4.24 (4.04-4.44)
oligodendrocyte progenitor cells 12,3303,0.07,39.0,276,41,14.86,2.42 (2.06-2.78),235,85.14,3.81 (3.57-4.04)
oligodendrocytes 10,806,0.242,70.0,261,5,1.92,3.18 (NA-NA),256,98.08,4.37 (4.13-4.61)
connective tissue cells 21,96,0.406,95.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367,0.057,14.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,313,0.162,25.0,291,6,2.06,4.11 (2.21-6.00),285,97.94,4.33 (4.10-4.56)
da neurons 6,553,0.137,56.0,124,7,5.65,3.61 (2.13-5.09),117,94.35,4.22 (3.82-4.63)
astrocytes microglia 23,86,0.23,10.0,1,1,100.0,1.71 (NA-NA),0,0.0,NA
astrocytes 4,1807,0.12,13.0,104,24,23.08,1.93 (1.52-2.34),80,76.92,3.17 (2.86-3.49)
oligodendrocytes 0,2078,0.109,40.0,238,16,6.72,3.10 (2.45-3.75),222,93.28,3.68 (3.45-3.91)
microglia 1,214,0.116,19.0,227,7,3.08,3.80 (3.17-4.43),220,96.92,4.10 (3.86-4.34)
oligodendrocytes 3,457,0.125,56.0,345,17,4.93,4.57 (4.06-5.08),328,95.07,4.26 (4.04-4.48)
oligodendrocytes 2,1630,0.131,29.0,154,4,2.6,3.23 (2.85-3.60),150,97.4,3.25 (2.97-3.52)
