tipo_celular,module_size,DNM1L_MM,DNM1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.193,61.0,140,12,8.57,3.42 (2.36-4.48),128,91.43,4.62 (4.17-5.06)
T cells 18,393,0.183,67.0,59,4,6.78,3.56 (2.99-4.13),55,93.22,3.07 (2.53-3.61)
astrocytes 5,1141,0.119,32.0,166,20,12.05,2.81 (2.02-3.60),146,87.95,3.48 (3.22-3.74)
oligodendrocyte progenitor cells 7,4285,0.109,17.0,353,55,15.58,2.83 (2.34-3.32),298,84.42,4.12 (3.93-4.31)
GABA neurons expressing GLU receptors 22,400,0.197,50.0,24,21,87.5,2.09 (1.52-2.65),3,12.5,2.64 (1.68-3.59)
GLU like neurons 17,300,0.13,10.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08)
da like neurons 11,1220,0.135,31.0,410,69,16.83,4.19 (3.72-4.66),341,83.17,4.26 (4.06-4.47)
GABA neurons expressing GABA receptors 13,77,0.238,86.0,3,1,33.33,NA,2,66.67,1.59 (0.34-2.85)
endothelial cells 9,1653,0.072,8.0,297,5,1.68,3.96 (2.23-5.70),292,98.32,3.67 (3.46-3.88)
oligodendrocytes 20,938,0.041,8.0,169,24,14.2,2.69 (2.20-3.18),145,85.8,3.62 (3.39-3.86)
GABA like neurons 14,2402,0.11,11.0,455,67,14.73,3.79 (3.24-4.35),388,85.27,4.46 (4.27-4.65)
astrocytes 8,260,0.167,73.0,4,3,75.0,1.10 (-0.55-2.76),1,25.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303,0.122,90.0,276,35,12.68,2.68 (2.20-3.17),241,87.32,3.69 (3.46-3.93)
oligodendrocytes 10,735,0.14,72.0,277,6,2.17,6.14 (5.06-7.21),271,97.83,3.82 (3.58-4.07)
connective tissue cells 21,84,0.266,55.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,443,0.108,17.0,9,2,22.22,0.95 (NA-NA),7,77.78,3.60 (2.32-4.88)
oligodendrocytes 16,155,0.172,22.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,300,0.182,58.0,159,14,8.81,6.07 (5.46-6.67),145,91.19,4.20 (3.88-4.51)
astrocytes microglia 23,134,0.239,12.0,2,1,50.0,3.34 (NA-NA),1,50.0,0.82 (NA-NA)
astrocytes 4,752,0.161,61.0,96,4,4.17,2.59 (1.43-3.75),92,95.83,3.33 (2.99-3.67)
oligodendrocytes 0,479,0.12,21.0,40,2,5.0,4.80 (4.77-4.83),38,95.0,5.93 (5.39-6.48)
microglia 1,813,0.098,25.0,79,10,12.66,3.20 (2.75-3.66),69,87.34,3.08 (2.62-3.55)
oligodendrocytes 3,639,0.097,50.0,15,6,40.0,1.13 (0.32-1.93),9,60.0,5.19 (3.92-6.45)
oligodendrocytes 2,804,0.107,6.0,84,14,16.67,2.15 (1.26-3.03),70,83.33,2.79 (2.44-3.15)
