tipo_celular,module_size,RNF11_MM,RNF11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.053,1.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,518,0.103,17.0,131,2,1.53,3.50 (NA-NA),129,98.47,3.07 (2.79-3.35)
astrocytes 5,228,0.102,10.0,266,12,4.51,2.10 (1.03-3.16),254,95.49,4.20 (3.99-4.40)
oligodendrocyte progenitor cells 7,666,0.197,70.0,127,5,3.94,3.18 (NA-NA),122,96.06,3.84 (3.50-4.18)
GABA neurons expressing GLU receptors 22,848,0.177,36.0,262,23,8.78,3.13 (2.44-3.82),239,91.22,4.28 (4.02-4.53)
GLU like neurons 17,229,0.195,47.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,200,0.15,37.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,200,0.259,93.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,385,0.132,71.0,275,25,9.09,2.16 (1.59-2.72),250,90.91,4.17 (3.91-4.44)
oligodendrocytes 20,228,0.157,33.0,5,1,20.0,1.95 (NA-NA),4,80.0,3.58 (0.93-6.24)
GABA like neurons 14,2402,0.286,63.0,455,31,6.81,2.72 (2.13-3.30),424,93.19,4.49 (4.30-4.68)
astrocytes 8,520,0.126,54.0,288,20,6.94,3.10 (2.50-3.69),268,93.06,4.26 (4.05-4.46)
oligodendrocyte progenitor cells 12,3303,0.082,54.0,276,34,12.32,2.84 (2.35-3.34),242,87.68,3.65 (3.42-3.89)
oligodendrocytes 10,806,0.228,68.0,261,5,1.92,3.18 (NA-NA),256,98.08,4.37 (4.13-4.61)
connective tissue cells 21,139,0.337,69.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1768,0.058,21.0,105,25,23.81,2.49 (1.99-2.99),80,76.19,3.46 (3.06-3.86)
oligodendrocytes 16,121,0.222,56.0,3,1,33.33,2.62 (NA-NA),2,66.67,3.09 (0.39-5.80)
da neurons 6,553,0.203,85.0,124,9,7.26,3.99 (3.05-4.93),115,92.74,4.20 (3.78-4.61)
astrocytes microglia 23,67,0.316,52.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.144,23.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,2078,0.106,34.0,238,17,7.14,3.43 (2.76-4.11),221,92.86,3.65 (3.42-3.88)
microglia 1,958,0.098,28.0,290,4,1.38,3.25 (2.40-4.09),286,98.62,3.82 (3.59-4.06)
oligodendrocytes 3,457,0.088,33.0,345,19,5.51,3.80 (3.37-4.23),326,94.49,4.30 (4.08-4.52)
oligodendrocytes 2,1630,0.145,58.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
