tipo_celular,module_size,MAP7D1_MM,MAP7D1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.218,54.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,506,0.089,7.0,225,3,1.33,1.62 (1.52-1.73),222,98.67,3.65 (3.40-3.90)
astrocytes 5,228,0.115,19.0,266,9,3.38,2.20 (1.05-3.34),257,96.62,4.20 (4.00-4.41)
oligodendrocyte progenitor cells 7,296,0.135,20.0,251,3,1.2,4.54 (3.94-5.14),248,98.8,4.06 (3.81-4.30)
GABA neurons expressing GLU receptors 22,703,0.082,4.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,685,0.14,56.0,135,2,1.48,1.57 (1.57-1.57),133,98.52,3.22 (2.91-3.53)
da like neurons 11,1220,0.135,31.0,410,0,0.0,NA,410,100.0,4.25 (4.06-4.43)
GABA neurons expressing GABA receptors 13,88,0.111,13.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,450,0.07,6.0,74,4,5.41,3.91 (2.44-5.37),70,94.59,5.60 (5.03-6.18)
oligodendrocytes 20,938,0.177,72.0,169,2,1.18,0.97 (-0.53-2.46),167,98.82,3.52 (3.30-3.73)
GABA like neurons 14,2402,0.164,29.0,455,4,0.88,0.82 (-0.10-1.74),451,99.12,4.38 (4.20-4.57)
astrocytes 8,520,0.133,57.0,288,2,0.69,4.66 (3.70-5.61),286,99.31,4.17 (3.97-4.37)
oligodendrocyte progenitor cells 12,708,0.099,44.0,32,5,15.62,0.90 (0.24-1.57),27,84.38,3.75 (2.91-4.59)
oligodendrocytes 10,806,0.199,63.0,261,4,1.53,4.54 (4.12-4.97),257,98.47,4.36 (4.11-4.61)
connective tissue cells 21,101,0.278,36.0,116,4,3.45,4.54 (4.12-4.97),112,96.55,4.61 (4.18-5.05)
astrocytes 15,367,0.049,11.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,151,0.114,3.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,228,0.087,35.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,58,0.345,71.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.125,17.0,104,1,0.96,0.21 (NA-NA),103,99.04,2.89 (2.61-3.17)
oligodendrocytes 0,546,0.151,39.0,252,3,1.19,0.35 (0.26-0.44),249,98.81,4.15 (3.90-4.39)
microglia 1,958,0.102,36.0,290,4,1.38,1.65 (1.56-1.75),286,98.62,3.85 (3.62-4.08)
oligodendrocytes 3,303,0.068,14.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,528,0.315,87.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
