tipo_celular,module_size,TMF1_MM,TMF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.107,15.0,71,7,9.86,2.37 (0.94-3.81),64,90.14,2.65 (2.22-3.08)
T cells 18,518,0.192,73.0,131,2,1.53,2.87 (1.64-4.10),129,98.47,3.08 (2.80-3.36)
astrocytes 5,1656,0.137,83.0,136,8,5.88,2.36 (1.66-3.06),128,94.12,3.27 (2.99-3.55)
oligodendrocyte progenitor cells 7,4285,0.145,65.0,353,55,15.58,2.29 (1.97-2.62),298,84.42,4.28 (4.09-4.46)
GABA neurons expressing GLU receptors 22,400,0.3,89.0,24,11,45.83,1.83 (0.86-2.79),13,54.17,2.44 (1.98-2.89)
GLU like neurons 17,1316,0.079,12.0,101,1,0.99,4.05 (NA-NA),100,99.01,3.04 (2.69-3.39)
da like neurons 11,1220,0.108,19.0,410,14,3.41,3.81 (2.94-4.67),396,96.59,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,86,0.218,83.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,385,0.115,60.0,275,50,18.18,2.25 (1.93-2.58),225,81.82,4.54 (4.27-4.81)
oligodendrocytes 20,279,0.218,53.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402,0.193,39.0,455,27,5.93,2.67 (1.90-3.43),428,94.07,4.49 (4.31-4.67)
astrocytes 8,520,0.063,20.0,288,12,4.17,3.24 (2.60-3.87),276,95.83,4.23 (4.02-4.43)
oligodendrocyte progenitor cells 12,3303,0.05,15.0,276,48,17.39,2.46 (2.16-2.77),228,82.61,3.85 (3.61-4.10)
oligodendrocytes 10,735,0.062,22.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,57,0.244,31.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768,0.071,34.0,105,22,20.95,2.59 (1.97-3.20),83,79.05,3.40 (3.01-3.78)
oligodendrocytes 16,122,0.148,10.0,11,6,54.55,3.52 (2.71-4.33),5,45.45,3.65 (3.51-3.80)
da neurons 6,448,0.086,30.0,43,1,2.33,3.78 (NA-NA),42,97.67,3.27 (2.73-3.80)
astrocytes microglia 23,132,0.29,39.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807,0.164,84.0,104,25,24.04,2.23 (1.70-2.75),79,75.96,3.09 (2.77-3.40)
oligodendrocytes 0,2078,0.148,98.0,238,17,7.14,2.71 (2.16-3.26),221,92.86,3.72 (3.48-3.95)
microglia 1,1615,0.13,77.0,161,51,31.68,2.25 (1.93-2.57),110,68.32,3.92 (3.60-4.23)
oligodendrocytes 3,743,0.079,46.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55)
oligodendrocytes 2,921,0.156,80.0,200,5,2.5,2.25 (1.36-3.15),195,97.5,3.66 (3.39-3.93)
