tipo_celular,module_size,AKAP9_MM,AKAP9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.067,3.0,15,2,13.33,5.98 (2.61-9.34),13,86.67,5.75 (5.10-6.40)
T cells 18,388,0.101,19.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,118,0.197,29.0,8,3,37.5,6.49 (4.68-8.30),5,62.5,2.79 (1.11-4.47)
oligodendrocyte progenitor cells 7,448,0.153,59.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70)
GABA neurons expressing GLU receptors 22,192,0.277,87.0,55,1,1.82,7.70 (NA-NA),54,98.18,3.95 (3.55-4.35)
GLU like neurons 17,1247,0.235,92.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,109,0.35,85.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,200,0.265,94.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,1653,0.131,53.0,297,7,2.36,4.36 (3.17-5.55),290,97.64,3.66 (3.46-3.87)
oligodendrocytes 20,676,0.122,36.0,110,20,18.18,3.61 (2.74-4.48),90,81.82,5.41 (4.93-5.88)
GABA like neurons 14,2402,0.086,5.0,455,26,5.71,2.27 (1.67-2.88),429,94.29,4.52 (4.34-4.70)
astrocytes 8,279,0.169,12.0,78,18,23.08,3.63 (2.78-4.48),60,76.92,4.57 (4.11-5.02)
oligodendrocyte progenitor cells 12,153,0.376,36.0,27,8,29.63,3.93 (2.78-5.08),19,70.37,6.08 (4.93-7.23)
oligodendrocytes 10,130,0.393,49.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,125,0.171,4.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,268,0.42,100.0,10,1,10.0,1.92 (NA-NA),9,90.0,3.94 (2.07-5.81)
oligodendrocytes 16,153,0.275,25.0,14,2,14.29,4.47 (3.14-5.79),12,85.71,4.71 (3.86-5.55)
da neurons 6,553,0.36,98.0,124,12,9.68,4.16 (3.16-5.15),112,90.32,4.19 (3.76-4.61)
astrocytes microglia 23,166,0.111,1.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,220,0.13,26.0,63,6,9.52,2.91 (1.87-3.94),57,90.48,5.45 (4.88-6.01)
oligodendrocytes 0,261,0.094,5.0,42,15,35.71,2.86 (1.90-3.82),27,64.29,5.12 (4.44-5.80)
microglia 1,1615,0.095,28.0,161,27,16.77,1.76 (1.29-2.22),134,83.23,3.64 (3.37-3.92)
oligodendrocytes 3,357,0.346,100.0,127,2,1.57,6.04 (4.37-7.71),125,98.43,3.06 (2.74-3.39)
oligodendrocytes 2,347,0.106,4.0,15,2,13.33,5.65 (4.79-6.51),13,86.67,4.48 (3.61-5.34)
