tipo_celular,module_size,GABARAPL1_MM,GABARAPL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.27,83.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,506,0.119,18.0,225,7,3.11,1.90 (1.28-2.53),218,96.89,3.69 (3.43-3.94)
astrocytes 5,228,0.168,45.0,266,24,9.02,2.58 (1.63-3.53),242,90.98,4.27 (4.08-4.47)
oligodendrocyte progenitor cells 7,296,0.18,52.0,251,1,0.4,NA,250,99.6,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848,0.448,96.0,262,17,6.49,2.55 (1.40-3.70),245,93.51,4.27 (4.02-4.51)
GLU like neurons 17,380,0.27,94.0,39,2,5.13,4.67 (-1.06-10.39),37,94.87,2.87 (2.35-3.38)
da like neurons 11,1220,0.287,78.0,410,18,4.39,3.73 (2.66-4.79),392,95.61,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,238,0.193,67.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,338,0.127,48.0,191,5,2.62,5.16 (3.35-6.97),186,97.38,3.84 (3.62-4.06)
oligodendrocytes 20,250,0.006,1.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402,0.426,82.0,455,25,5.49,2.61 (1.73-3.48),430,94.51,4.47 (4.28-4.65)
astrocytes 8,520,0.258,82.0,288,20,6.94,3.55 (2.51-4.60),268,93.06,4.21 (4.01-4.41)
oligodendrocyte progenitor cells 12,218,0.073,27.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,806,0.312,81.0,261,12,4.6,2.93 (2.06-3.80),249,95.4,4.43 (4.18-4.67)
connective tissue cells 21,145,0.26,31.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,418,0.034,13.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,123,0.262,79.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,553,0.122,46.0,124,3,2.42,0.40 (NA-NA),121,97.58,4.23 (3.84-4.61)
astrocytes microglia 23,99,0.329,60.0,3,1,33.33,1.74 (NA-NA),2,66.67,1.91 (0.04-3.78)
astrocytes 4,514,0.155,31.0,95,2,2.11,1.94 (NA-NA),93,97.89,3.39 (2.97-3.81)
oligodendrocytes 0,2078,0.123,69.0,238,8,3.36,4.62 (2.38-6.85),230,96.64,3.61 (3.39-3.82)
microglia 1,480,0.144,26.0,163,1,0.61,1.94 (NA-NA),162,99.39,3.72 (3.45-3.99)
oligodendrocytes 3,457,0.146,63.0,345,17,4.93,3.96 (2.90-5.02),328,95.07,4.29 (4.08-4.50)
oligodendrocytes 2,99,0.164,22.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26)
