tipo_celular,module_size,MAP1B_MM,MAP1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.593,100.0,140,15,10.71,5.69 (4.51-6.87),125,89.29,4.39 (3.94-4.83)
T cells 18,282,0.594,99.0,241,6,2.49,5.89 (4.08-7.71),235,97.51,3.99 (3.74-4.23)
astrocytes 5,228,0.39,95.0,266,39,14.66,4.18 (3.38-4.98),227,85.34,4.09 (3.90-4.29)
oligodendrocyte progenitor cells 7,296,0.414,96.0,251,13,5.18,5.21 (4.38-6.04),238,94.82,3.98 (3.74-4.23)
GABA neurons expressing GLU receptors 22,848,0.252,65.0,262,33,12.6,4.99 (4.07-5.90),229,87.4,4.01 (3.78-4.25)
GLU like neurons 17,229,0.044,4.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,1220,0.52,98.0,410,12,2.93,4.26 (2.53-5.98),398,97.07,4.25 (4.06-4.43)
GABA neurons expressing GABA receptors 13,266,0.457,100.0,118,7,5.93,5.76 (4.74-6.79),111,94.07,4.68 (4.31-5.05)
endothelial cells 9,338,0.56,100.0,191,6,3.14,5.18 (3.42-6.93),185,96.86,3.84 (3.62-4.06)
oligodendrocytes 20,358,0.028,7.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2402,0.506,89.0,455,12,2.64,1.79 (0.90-2.67),443,97.36,4.43 (4.25-4.61)
astrocytes 8,520,0.482,98.0,288,22,7.64,4.48 (3.39-5.58),266,92.36,4.15 (3.95-4.35)
oligodendrocyte progenitor cells 12,708,0.112,52.0,32,7,21.88,2.33 (0.21-4.46),25,78.12,3.55 (2.74-4.36)
oligodendrocytes 10,806,0.813,100.0,261,43,16.48,5.62 (5.03-6.21),218,83.52,4.11 (3.86-4.36)
connective tissue cells 21,101,0.555,94.0,116,29,25.0,5.10 (4.29-5.91),87,75.0,4.44 (3.96-4.92)
astrocytes 15,418,0.191,59.0,54,5,9.26,4.41 (1.85-6.98),49,90.74,3.62 (3.19-4.04)
oligodendrocytes 16,313,0.582,98.0,291,14,4.81,4.98 (3.75-6.22),277,95.19,4.29 (4.06-4.51)
da neurons 6,307,0.42,100.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,70,0.482,89.0,76,13,17.11,5.34 (4.58-6.10),63,82.89,3.78 (3.20-4.37)
astrocytes 4,157,0.378,88.0,178,31,17.42,4.46 (3.49-5.42),147,82.58,4.07 (3.82-4.32)
oligodendrocytes 0,116,0.421,91.0,169,8,4.73,6.32 (5.32-7.31),161,95.27,4.15 (3.86-4.45)
microglia 1,214,0.604,100.0,227,16,7.05,4.94 (4.05-5.83),211,92.95,4.02 (3.78-4.26)
oligodendrocytes 3,457,0.46,99.0,345,24,6.96,4.73 (3.83-5.63),321,93.04,4.23 (4.02-4.45)
oligodendrocytes 2,99,0.405,81.0,116,1,0.86,7.70 (NA-NA),115,99.14,3.91 (3.62-4.20)
