tipo_celular,module_size,CARS_MM,CARS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249,0.153,53.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,727,0.096,14.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,322,0.11,15.0,58,2,3.45,NA,56,96.55,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,4285,0.125,34.0,353,30,8.5,2.13 (1.66-2.60),323,91.5,4.11 (3.92-4.29)
GABA neurons expressing GLU receptors 22,823,0.093,6.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,795,0.118,42.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,853,0.103,30.0,133,15,11.28,1.67 (1.17-2.17),118,88.72,3.50 (3.17-3.82)
GABA neurons expressing GABA receptors 13,357,0.065,2.0,237,7,2.95,2.52 (2.06-2.99),230,97.05,4.48 (4.25-4.72)
endothelial cells 9,1653,0.08,14.0,297,2,0.67,3.04 (2.03-4.05),295,99.33,3.68 (3.47-3.88)
oligodendrocytes 20,938,0.118,46.0,169,5,2.96,1.36 (0.45-2.27),164,97.04,3.56 (3.35-3.77)
GABA like neurons 14,3052,0.118,33.0,125,1,0.8,5.16 (NA-NA),124,99.2,3.33 (3.01-3.66)
astrocytes 8,1266,0.053,18.0,66,3,4.55,1.56 (-0.41-3.53),63,95.45,3.32 (2.90-3.74)
oligodendrocyte progenitor cells 12,3303,0.085,58.0,276,27,9.78,2.20 (1.76-2.64),249,90.22,3.73 (3.50-3.96)
oligodendrocytes 10,806,0.082,18.0,261,7,2.68,2.93 (2.38-3.48),254,97.32,4.42 (4.17-4.66)
connective tissue cells 21,136,0.252,32.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1401,0.1,64.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,86,0.208,70.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.12,60.0,122,15,12.3,2.66 (2.16-3.16),107,87.7,4.24 (3.81-4.68)
astrocytes microglia 23,70,0.315,35.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 4,255,0.16,39.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,2078,0.106,32.0,238,9,3.78,3.02 (1.80-4.24),229,96.22,3.66 (3.44-3.89)
microglia 1,813,0.125,60.0,79,5,6.33,4.70 (3.75-5.65),74,93.67,2.98 (2.57-3.40)
oligodendrocytes 3,187,0.078,33.0,2,1,50.0,NA,1,50.0,3.78 (NA-NA)
oligodendrocytes 2,921,0.121,24.0,200,4,2.0,2.92 (1.26-4.58),196,98.0,3.64 (3.37-3.91)
