tipo_celular,module_size,EEF1A1_MM,EEF1A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.391,77.0,98,23,23.47,2.39 (1.80-2.98),75,76.53,3.51 (2.92-4.09)
T cells 18,506,0.594,98.0,225,41,18.22,2.79 (2.25-3.33),184,81.78,3.77 (3.50-4.05)
astrocytes 5,328,0.272,84.0,128,4,3.12,3.15 (2.40-3.89),124,96.88,3.59 (3.23-3.94)
oligodendrocyte progenitor cells 7,448,0.393,97.0,108,4,3.7,3.87 (2.63-5.12),104,96.3,3.22 (2.77-3.68)
GABA neurons expressing GLU receptors 22,487,0.413,94.0,73,8,10.96,2.01 (1.29-2.74),65,89.04,2.86 (2.44-3.28)
GLU like neurons 17,685,0.212,79.0,135,43,31.85,2.16 (1.77-2.55),92,68.15,3.59 (3.23-3.95)
da like neurons 11,1220,0.172,48.0,410,62,15.12,3.47 (3.06-3.88),348,84.88,4.37 (4.17-4.57)
GABA neurons expressing GABA receptors 13,417,0.112,13.0,213,44,20.66,2.37 (1.92-2.82),169,79.34,4.18 (3.94-4.43)
endothelial cells 9,916,0.529,94.0,302,20,6.62,3.58 (2.55-4.60),282,93.38,4.01 (3.77-4.24)
oligodendrocytes 20,938,0.287,93.0,169,34,20.12,2.88 (2.39-3.37),135,79.88,3.59 (3.35-3.83)
GABA like neurons 14,2402,0.502,89.0,455,75,16.48,2.84 (2.41-3.27),380,83.52,4.64 (4.46-4.83)
astrocytes 8,603,0.215,91.0,89,12,13.48,1.79 (1.16-2.43),77,86.52,2.96 (2.57-3.34)
oligodendrocyte progenitor cells 12,1049,0.44,97.0,235,27,11.49,3.45 (3.08-3.83),208,88.51,3.87 (3.61-4.12)
oligodendrocytes 10,483,0.533,99.0,129,9,6.98,3.33 (2.84-3.82),120,93.02,3.44 (3.01-3.87)
connective tissue cells 21,301,0.54,85.0,158,25,15.82,3.29 (2.53-4.05),133,84.18,4.46 (4.06-4.87)
astrocytes 15,268,0.07,39.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29)
oligodendrocytes 16,105,0.186,30.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,729,0.129,37.0,182,9,4.95,2.28 (1.45-3.11),173,95.05,3.72 (3.47-3.98)
astrocytes microglia 23,137,0.333,39.0,188,32,17.02,2.35 (1.89-2.82),156,82.98,4.97 (4.62-5.31)
astrocytes 4,208,0.18,40.0,173,11,6.36,3.97 (2.56-5.38),162,93.64,3.79 (3.48-4.10)
oligodendrocytes 0,546,0.314,92.0,252,58,23.02,2.48 (2.08-2.88),194,76.98,4.61 (4.36-4.86)
microglia 1,406,0.553,94.0,278,5,1.8,3.61 (2.65-4.56),273,98.2,4.38 (4.10-4.65)
oligodendrocytes 3,303,0.276,94.0,154,3,1.95,3.33 (2.41-4.25),151,98.05,3.63 (3.30-3.95)
oligodendrocytes 2,526,0.495,92.0,213,4,1.88,4.27 (3.08-5.45),209,98.12,3.97 (3.69-4.25)
