tipo_celular,module_size,PDZD8_MM,PDZD8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.09,7.0,102,4,3.92,1.14 (0.61-1.67),98,96.08,3.60 (3.24-3.96)
T cells 18,518,0.223,84.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656,0.119,54.0,136,5,3.68,3.76 (3.68-3.85),131,96.32,3.18 (2.90-3.47)
oligodendrocyte progenitor cells 7,4285,0.176,96.0,353,17,4.82,1.48 (0.93-2.02),336,95.18,4.05 (3.87-4.23)
GABA neurons expressing GLU receptors 22,400,0.222,64.0,24,8,33.33,0.85 (0.39-1.31),16,66.67,2.81 (2.34-3.28)
GLU like neurons 17,637,0.126,35.0,91,15,16.48,1.77 (0.97-2.57),76,83.52,5.34 (4.90-5.77)
da like neurons 11,172,0.29,70.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,266,0.232,81.0,118,3,2.54,5.40 (4.07-6.74),115,97.46,4.71 (4.35-5.08)
endothelial cells 9,1653,0.13,53.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,271,0.086,12.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052,0.141,52.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,520,0.065,22.0,288,9,3.12,2.77 (1.90-3.64),279,96.88,4.23 (4.03-4.43)
oligodendrocyte progenitor cells 12,3303,0.127,92.0,276,7,2.54,2.18 (1.22-3.13),269,97.46,3.59 (3.37-3.81)
oligodendrocytes 10,2107,0.146,50.0,358,15,4.19,1.15 (0.62-1.67),343,95.81,4.02 (3.84-4.21)
connective tissue cells 21,111,0.246,31.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18)
astrocytes 15,367,0.042,9.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,81,0.184,55.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,307,0.148,70.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,58,0.336,62.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.148,56.0,104,9,8.65,2.45 (1.39-3.52),95,91.35,2.90 (2.61-3.20)
oligodendrocytes 0,2078,0.13,82.0,238,4,1.68,2.12 (0.58-3.66),234,98.32,3.67 (3.45-3.89)
microglia 1,958,0.101,34.0,290,5,1.72,1.43 (0.94-1.91),285,98.28,3.87 (3.64-4.10)
oligodendrocytes 3,743,0.075,41.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54)
oligodendrocytes 2,921,0.138,51.0,200,3,1.5,1.99 (1.71-2.27),197,98.5,3.65 (3.38-3.92)
