tipo_celular,module_size,ABCD3_MM,ABCD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125,0.316,91.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,610,0.104,16.0,98,19,19.39,1.71 (1.17-2.25),79,80.61,3.51 (3.19-3.83)
astrocytes 5,1141,0.126,43.0,166,10,6.02,1.58 (0.91-2.25),156,93.98,3.53 (3.28-3.78)
oligodendrocyte progenitor cells 7,4285,0.147,69.0,353,42,11.9,2.17 (1.70-2.65),311,88.1,4.17 (3.99-4.35)
GABA neurons expressing GLU receptors 22,714,0.213,67.0,17,5,29.41,2.20 (2.10-2.31),12,70.59,2.35 (1.51-3.19)
GLU like neurons 17,1316,0.112,40.0,101,2,1.98,3.50 (1.59-5.41),99,98.02,3.04 (2.68-3.40)
da like neurons 11,200,0.256,69.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,80,0.106,7.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658,0.181,41.0,120,2,1.67,2.43 (1.58-3.27),118,98.33,4.65 (4.33-4.97)
oligodendrocytes 20,253,0.152,46.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052,0.178,81.0,125,1,0.8,8.28 (NA-NA),124,99.2,3.30 (2.99-3.61)
astrocytes 8,283,0.038,5.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.081,53.0,276,28,10.14,2.63 (2.08-3.18),248,89.86,3.68 (3.45-3.91)
oligodendrocytes 10,735,0.044,10.0,277,2,0.72,3.42 (NA-NA),275,99.28,3.90 (3.65-4.14)
connective tissue cells 21,139,0.253,31.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,443,0.177,69.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,108,0.092,0.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,518,0.119,59.0,122,32,26.23,2.45 (2.05-2.85),90,73.77,4.80 (4.35-5.24)
astrocytes microglia 23,157,0.259,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.172,85.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.12,17.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01)
microglia 1,1615,0.11,50.0,161,22,13.66,1.55 (1.10-1.99),139,86.34,3.62 (3.35-3.88)
oligodendrocytes 3,1003,0.078,31.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921,0.122,26.0,200,6,3.0,2.47 (1.67-3.26),194,97.0,3.67 (3.39-3.94)
