tipo_celular,module_size,BSG_MM,BSG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.226,83.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,506,0.178,47.0,225,32,14.22,3.31 (2.64-3.98),193,85.78,3.66 (3.40-3.93)
astrocytes 5,328,0.107,20.0,128,2,1.56,4.23 (3.32-5.15),126,98.44,3.55 (3.21-3.90)
oligodendrocyte progenitor cells 7,296,0.152,31.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848,0.417,94.0,262,42,16.03,3.81 (3.29-4.32),220,83.97,4.23 (3.96-4.51)
GLU like neurons 17,380,0.21,77.0,39,4,10.26,2.86 (1.76-3.96),35,89.74,2.98 (2.37-3.59)
da like neurons 11,1220,0.253,72.0,410,39,9.51,3.91 (3.32-4.49),371,90.49,4.29 (4.09-4.49)
GABA neurons expressing GABA receptors 13,357,0.152,44.0,237,5,2.11,3.92 (3.33-4.51),232,97.89,4.42 (4.18-4.66)
endothelial cells 9,559,0.441,95.0,155,6,3.87,3.49 (3.35-3.63),149,96.13,4.35 (3.98-4.72)
oligodendrocytes 20,279,0.076,9.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09)
GABA like neurons 14,2402,0.297,66.0,455,48,10.55,3.34 (2.72-3.97),407,89.45,4.49 (4.30-4.68)
astrocytes 8,603,0.151,81.0,89,6,6.74,1.79 (0.63-2.95),83,93.26,2.86 (2.50-3.22)
oligodendrocyte progenitor cells 12,1049,0.107,59.0,235,15,6.38,3.41 (2.94-3.88),220,93.62,3.85 (3.60-4.09)
oligodendrocytes 10,735,0.187,85.0,277,7,2.53,6.65 (6.17-7.13),270,97.47,3.81 (3.57-4.05)
connective tissue cells 21,301,0.406,57.0,158,18,11.39,5.10 (4.14-6.06),140,88.61,4.09 (3.70-4.48)
astrocytes 15,1768,0.053,17.0,105,18,17.14,2.18 (1.61-2.75),87,82.86,3.45 (3.08-3.82)
oligodendrocytes 16,96,0.148,14.0,102,19,18.63,1.97 (1.25-2.69),83,81.37,3.60 (3.26-3.94)
da neurons 6,300,0.135,42.0,159,13,8.18,5.92 (5.38-6.45),146,91.82,4.18 (3.86-4.50)
astrocytes microglia 23,127,0.283,31.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,208,0.126,13.0,173,6,3.47,3.68 (3.56-3.80),167,96.53,3.80 (3.49-4.11)
oligodendrocytes 0,546,0.111,16.0,252,39,15.48,2.66 (2.05-3.26),213,84.52,4.38 (4.13-4.63)
microglia 1,214,0.126,24.0,227,17,7.49,3.67 (3.07-4.28),210,92.51,4.12 (3.87-4.37)
oligodendrocytes 3,303,0.158,57.0,154,2,1.3,4.70 (NA-NA),152,98.7,3.61 (3.29-3.93)
oligodendrocytes 2,528,0.188,43.0,175,34,19.43,3.73 (3.22-4.24),141,80.57,4.58 (4.16-5.00)
