tipo_celular,module_size,PEG10_MM,PEG10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.397,94.0,140,3,2.14,2.05 (2.00-2.10),137,97.86,4.59 (4.17-5.02)
T cells 18,282,0.556,99.0,241,1,0.41,3.87 (NA-NA),240,99.59,4.06 (3.80-4.31)
astrocytes 5,228,0.446,96.0,266,20,7.52,2.08 (1.47-2.69),246,92.48,4.30 (4.10-4.51)
oligodendrocyte progenitor cells 7,296,0.504,98.0,251,1,0.4,3.22 (NA-NA),250,99.6,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,848,0.354,86.0,262,16,6.11,2.36 (1.66-3.07),246,93.89,4.28 (4.03-4.53)
GLU like neurons 17,1316,0.097,25.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,1220,0.515,98.0,410,17,4.15,3.03 (2.38-3.69),393,95.85,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,265,0.513,100.0,78,6,7.69,2.74 (2.08-3.39),72,92.31,4.54 (4.11-4.97)
endothelial cells 9,338,0.534,98.0,191,1,0.52,2.06 (NA-NA),190,99.48,3.90 (3.67-4.12)
oligodendrocytes 20,250,0.093,17.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402,0.57,93.0,455,30,6.59,2.32 (1.76-2.88),425,93.41,4.52 (4.33-4.70)
astrocytes 8,520,0.574,100.0,288,15,5.21,2.86 (2.33-3.39),273,94.79,4.25 (4.04-4.45)
oligodendrocyte progenitor cells 12,3303,0.119,89.0,276,21,7.61,2.19 (1.78-2.59),255,92.39,3.68 (3.46-3.91)
oligodendrocytes 10,806,0.65,99.0,261,9,3.45,2.57 (2.10-3.04),252,96.55,4.42 (4.18-4.67)
connective tissue cells 21,101,0.513,90.0,116,10,8.62,2.25 (1.62-2.88),106,91.38,4.83 (4.42-5.25)
astrocytes 15,338,0.121,28.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,313,0.592,99.0,291,7,2.41,2.42 (1.60-3.25),284,97.59,4.39 (4.16-4.61)
da neurons 6,300,0.16,49.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,70,0.399,79.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72)
astrocytes 4,157,0.385,89.0,178,15,8.43,1.93 (1.12-2.74),163,91.57,4.36 (4.11-4.62)
oligodendrocytes 0,116,0.298,80.0,169,1,0.59,2.08 (NA-NA),168,99.41,4.29 (4.00-4.59)
microglia 1,214,0.472,95.0,227,6,2.64,3.08 (2.01-4.14),221,97.36,4.11 (3.87-4.35)
oligodendrocytes 3,457,0.432,98.0,345,18,5.22,2.85 (2.47-3.23),327,94.78,4.37 (4.15-4.58)
oligodendrocytes 2,99,0.393,78.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26)
