tipo_celular,module_size,CAMK2G_MM,CAMK2G_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249,0.115,21.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,727,0.202,88.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,117,0.416,100.0,28,8,28.57,4.73 (3.49-5.96),20,71.43,5.53 (4.89-6.18)
oligodendrocyte progenitor cells 7,200,0.291,86.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,400,0.256,81.0,24,15,62.5,1.83 (1.14-2.52),9,37.5,2.70 (2.09-3.32)
GLU like neurons 17,229,0.19,44.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,172,0.218,47.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,266,0.238,84.0,118,5,4.24,4.25 (3.48-5.03),113,95.76,4.76 (4.39-5.14)
endothelial cells 9,303,0.253,69.0,54,1,1.85,5.19 (NA-NA),53,98.15,4.83 (4.19-5.47)
oligodendrocytes 20,275,0.215,58.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,1300,0.147,22.0,306,53,17.32,3.65 (3.19-4.12),253,82.68,5.58 (5.30-5.86)
astrocytes 8,1266,0.347,99.0,66,32,48.48,2.84 (2.28-3.40),34,51.52,3.72 (3.14-4.30)
oligodendrocyte progenitor cells 12,3303,0.062,28.0,276,28,10.14,2.65 (2.18-3.12),248,89.86,3.67 (3.43-3.90)
oligodendrocytes 10,806,0.158,51.0,261,28,10.73,4.32 (3.62-5.01),233,89.27,4.37 (4.11-4.63)
connective tissue cells 21,183,0.214,27.0,32,2,6.25,0.87 (NA-NA),30,93.75,5.26 (4.67-5.86)
astrocytes 15,418,0.441,86.0,54,7,12.96,3.61 (2.68-4.54),47,87.04,3.69 (3.21-4.18)
oligodendrocytes 16,158,0.169,29.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,300,0.087,11.0,159,4,2.52,5.69 (4.43-6.95),155,97.48,4.32 (4.01-4.63)
astrocytes microglia 23,141,0.512,99.0,30,13,43.33,4.53 (3.44-5.62),17,56.67,7.02 (6.11-7.94)
astrocytes 4,251,0.422,100.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06)
oligodendrocytes 0,1186,0.087,2.0,300,8,2.67,3.60 (2.97-4.22),292,97.33,3.80 (3.59-4.01)
microglia 1,1615,0.11,51.0,161,28,17.39,2.17 (1.65-2.70),133,82.61,3.57 (3.28-3.85)
oligodendrocytes 3,94,0.225,85.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,1630,0.104,4.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
