tipo_celular,module_size,BAZ1B_MM,BAZ1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.111,17.0,47,1,2.13,3.43 (NA-NA),46,97.87,2.57 (2.07-3.07)
T cells 18,624,0.155,52.0,142,14,9.86,3.71 (3.41-4.00),128,90.14,3.15 (2.85-3.44)
astrocytes 5,932,0.122,70.0,80,1,1.25,2.95 (NA-NA),79,98.75,3.68 (3.27-4.10)
oligodendrocyte progenitor cells 7,4285,0.157,82.0,353,80,22.66,2.45 (2.19-2.71),273,77.34,4.48 (4.30-4.66)
GABA neurons expressing GLU receptors 22,599,0.123,11.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08)
GLU like neurons 17,1247,0.196,82.0,51,2,3.92,3.92 (3.64-4.20),49,96.08,3.61 (3.00-4.22)
da like neurons 11,109,0.237,59.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,86,0.086,5.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,1653,0.103,29.0,297,20,6.73,3.56 (3.22-3.90),277,93.27,3.68 (3.46-3.90)
oligodendrocytes 20,298,0.175,64.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2090,0.198,79.0,74,16,21.62,2.40 (2.09-2.72),58,78.38,3.12 (2.64-3.60)
astrocytes 8,283,0.157,60.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.112,84.0,276,62,22.46,2.40 (2.15-2.65),214,77.54,4.02 (3.76-4.27)
oligodendrocytes 10,2107,0.157,54.0,358,94,26.26,2.44 (2.21-2.67),264,73.74,4.64 (4.45-4.83)
connective tissue cells 21,91,0.224,18.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,1768,0.094,57.0,105,25,23.81,1.81 (1.49-2.13),80,76.19,3.70 (3.32-4.08)
oligodendrocytes 16,155,0.149,13.0,8,3,37.5,0.47 (0.34-0.61),5,62.5,4.21 (0.18-8.24)
da neurons 6,448,0.097,44.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,132,0.251,19.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,721,0.158,62.0,61,5,8.2,3.13 (1.82-4.44),56,91.8,2.95 (2.51-3.39)
oligodendrocytes 0,1186,0.119,15.0,300,27,9.0,3.42 (3.17-3.67),273,91.0,3.84 (3.61-4.06)
microglia 1,958,0.114,55.0,290,17,5.86,2.44 (1.74-3.14),273,94.14,3.92 (3.69-4.16)
oligodendrocytes 3,357,0.185,88.0,127,9,7.09,4.68 (3.80-5.55),118,92.91,3.02 (2.68-3.36)
oligodendrocytes 2,921,0.127,32.0,200,7,3.5,3.76 (2.17-5.35),193,96.5,3.62 (3.35-3.88)
