tipo_celular,module_size,PPIA_MM,PPIA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.275,80.0,140,15,10.71,3.53 (2.40-4.66),125,89.29,4.60 (4.16-5.05)
T cells 18,506,0.145,34.0,225,54,24.0,3.40 (2.93-3.87),171,76.0,3.68 (3.39-3.98)
astrocytes 5,228,0.203,64.0,266,56,21.05,3.10 (2.61-3.59),210,78.95,4.39 (4.17-4.60)
oligodendrocyte progenitor cells 7,296,0.228,69.0,251,6,2.39,2.86 (NA-NA),245,97.61,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,848,0.388,90.0,262,56,21.37,3.80 (3.28-4.31),206,78.63,4.26 (3.98-4.54)
GLU like neurons 17,1316,0.193,92.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,1220,0.358,89.0,410,61,14.88,4.39 (3.86-4.92),349,85.12,4.22 (4.02-4.42)
GABA neurons expressing GABA receptors 13,417,0.125,22.0,213,47,22.07,2.95 (2.17-3.73),166,77.93,3.97 (3.76-4.19)
endothelial cells 9,916,0.242,60.0,302,24,7.95,4.26 (3.12-5.40),278,92.05,3.96 (3.73-4.19)
oligodendrocytes 20,938,0.164,68.0,169,41,24.26,3.67 (3.08-4.25),128,75.74,3.44 (3.20-3.67)
GABA like neurons 14,2402,0.489,87.0,455,77,16.92,3.64 (3.07-4.20),378,83.08,4.50 (4.31-4.68)
astrocytes 8,520,0.244,79.0,288,48,16.67,3.54 (3.10-3.98),240,83.33,4.29 (4.07-4.51)
oligodendrocyte progenitor cells 12,1049,0.084,44.0,235,27,11.49,4.86 (3.85-5.87),208,88.51,3.73 (3.50-3.96)
oligodendrocytes 10,735,0.276,98.0,277,18,6.5,6.13 (5.58-6.67),259,93.5,3.78 (3.54-4.02)
connective tissue cells 21,301,0.298,29.0,158,37,23.42,4.11 (3.43-4.79),121,76.58,4.30 (3.87-4.74)
astrocytes 15,443,0.188,76.0,9,6,66.67,3.73 (2.40-5.05),3,33.33,1.89 (-1.31-5.09)
oligodendrocytes 16,313,0.209,47.0,291,41,14.09,3.86 (3.28-4.44),250,85.91,4.41 (4.17-4.65)
da neurons 6,409,0.117,47.0,235,21,8.94,3.20 (2.27-4.12),214,91.06,4.05 (3.79-4.30)
astrocytes microglia 23,122,0.362,83.0,5,3,60.0,NA,2,40.0,1.94 (-0.80-4.68)
astrocytes 4,157,0.171,45.0,178,31,17.42,2.73 (2.18-3.27),147,82.58,4.49 (4.22-4.76)
oligodendrocytes 0,546,0.2,66.0,252,63,25.0,3.19 (2.57-3.82),189,75.0,4.38 (4.13-4.62)
microglia 1,214,0.219,62.0,227,20,8.81,3.37 (2.68-4.06),207,91.19,4.13 (3.89-4.38)
oligodendrocytes 3,457,0.214,84.0,345,67,19.42,4.18 (3.73-4.62),278,80.58,4.30 (4.06-4.54)
oligodendrocytes 2,526,0.285,56.0,213,10,4.69,5.84 (4.85-6.84),203,95.31,3.91 (3.63-4.18)
