tipo_celular,module_size,LRP1B_MM,LRP1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.559,94.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349,0.452,91.0,68,5,7.35,2.24 (2.00-2.48),63,92.65,4.60 (4.02-5.17)
astrocytes 5,222,0.247,69.0,98,1,1.02,4.52 (NA-NA),97,98.98,4.60 (4.19-5.01)
oligodendrocyte progenitor cells 7,4285,0.104,12.0,353,13,3.68,2.60 (1.84-3.35),340,96.32,3.95 (3.76-4.14)
GABA neurons expressing GLU receptors 22,1069,0.271,97.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,795,0.247,86.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,120,0.471,95.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,288,0.327,88.0,93,2,2.15,2.53 (2.34-2.73),91,97.85,5.22 (4.72-5.72)
endothelial cells 9,450,0.49,86.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676,0.261,49.0,110,1,0.91,2.91 (NA-NA),109,99.09,5.02 (4.57-5.47)
GABA like neurons 14,1300,0.152,24.0,306,9,2.94,1.91 (1.42-2.40),297,97.06,5.24 (4.98-5.49)
astrocytes 8,1266,0.165,90.0,66,3,4.55,2.43 (-0.37-5.24),63,95.45,3.27 (2.85-3.69)
oligodendrocyte progenitor cells 12,411,0.396,87.0,103,1,0.97,4.52 (NA-NA),102,99.03,5.56 (5.17-5.95)
oligodendrocytes 10,204,0.401,38.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28)
connective tissue cells 21,250,0.319,56.0,117,5,4.27,3.20 (1.82-4.58),112,95.73,5.51 (5.11-5.90)
astrocytes 15,268,0.142,68.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,149,0.4,91.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,398,0.3,87.0,138,2,1.45,1.73 (-0.59-4.05),136,98.55,4.88 (4.51-5.24)
astrocytes microglia 23,122,0.38,82.0,46,1,2.17,4.52 (NA-NA),45,97.83,5.04 (4.47-5.62)
astrocytes 4,201,0.156,37.0,18,2,11.11,2.53 (2.34-2.73),16,88.89,4.82 (3.91-5.74)
oligodendrocytes 0,309,0.211,88.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,127,0.4,85.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12)
oligodendrocytes 3,242,0.157,62.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,237,0.214,50.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
