tipo_celular,module_size,ASAH1_MM,ASAH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.265,90.0,19,3,15.79,4.03 (4.03-4.03),16,84.21,2.24 (1.46-3.01)
T cells 18,282,0.123,30.0,241,2,0.83,7.00 (7.00-7.00),239,99.17,4.02 (3.77-4.27)
astrocytes 5,228,0.139,30.0,266,26,9.77,2.84 (2.00-3.68),240,90.23,4.24 (4.03-4.45)
oligodendrocyte progenitor cells 7,296,0.178,50.0,251,3,1.2,3.42 (NA-NA),248,98.8,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,848,0.159,28.0,262,23,8.78,2.88 (2.09-3.67),239,91.22,4.25 (4.00-4.51)
GLU like neurons 17,1316,0.098,26.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,1220,0.261,73.0,410,24,5.85,3.72 (3.07-4.36),386,94.15,4.28 (4.08-4.47)
GABA neurons expressing GABA receptors 13,265,0.196,70.0,78,4,5.13,3.18 (3.18-3.18),74,94.87,4.40 (3.97-4.82)
endothelial cells 9,338,0.153,60.0,191,5,2.62,3.69 (3.29-4.10),186,97.38,3.89 (3.66-4.12)
oligodendrocytes 20,253,0.145,42.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.241,53.0,455,33,7.25,2.29 (1.62-2.96),422,92.75,4.51 (4.33-4.69)
astrocytes 8,520,0.168,64.0,288,21,7.29,3.85 (2.91-4.78),267,92.71,4.19 (3.99-4.40)
oligodendrocyte progenitor cells 12,3303,0.061,27.0,276,20,7.25,2.12 (1.60-2.64),256,92.75,3.69 (3.47-3.92)
oligodendrocytes 10,735,0.197,87.0,277,3,1.08,3.42 (NA-NA),274,98.92,3.90 (3.65-4.14)
connective tissue cells 21,142,0.318,48.0,55,7,12.73,1.83 (0.39-3.27),48,87.27,3.85 (2.92-4.77)
astrocytes 15,458,0.027,4.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,107,0.259,76.0,11,2,18.18,0.85 (0.21-1.49),9,81.82,1.63 (0.84-2.42)
da neurons 6,409,0.223,84.0,235,15,6.38,3.21 (2.18-4.25),220,93.62,4.03 (3.77-4.28)
astrocytes microglia 23,253,0.216,31.0,47,3,6.38,2.83 (0.98-4.69),44,93.62,2.85 (2.51-3.18)
astrocytes 4,721,0.126,10.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,613,0.118,24.0,127,7,5.51,2.71 (1.85-3.58),120,94.49,3.07 (2.64-3.51)
microglia 1,346,0.4,98.0,43,5,11.63,5.28 (3.22-7.34),38,88.37,3.58 (3.10-4.07)
oligodendrocytes 3,457,0.105,43.0,345,18,5.22,3.91 (3.13-4.69),327,94.78,4.29 (4.07-4.50)
oligodendrocytes 2,528,0.173,31.0,175,21,12.0,4.16 (3.59-4.73),154,88.0,4.40 (4.02-4.79)
