tipo_celular,module_size,XPR1_MM,XPR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159,0.154,16.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,610,0.128,31.0,98,8,8.16,0.76 (0.17-1.35),90,91.84,3.35 (3.06-3.65)
astrocytes 5,1141,0.165,88.0,166,4,2.41,1.03 (-0.15-2.20),162,97.59,3.46 (3.21-3.71)
oligodendrocyte progenitor cells 7,4285,0.174,95.0,353,12,3.4,1.18 (0.56-1.80),341,96.6,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,400,0.236,71.0,24,7,29.17,0.72 (0.28-1.17),17,70.83,2.75 (2.29-3.20)
GLU like neurons 17,1316,0.127,53.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,142,0.489,96.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,238,0.15,42.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,658,0.244,63.0,120,6,5.0,2.32 (1.84-2.81),114,95.0,4.75 (4.43-5.06)
oligodendrocytes 20,295,0.22,63.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,1300,0.179,36.0,306,10,3.27,2.19 (1.55-2.83),296,96.73,5.24 (4.98-5.50)
astrocytes 8,1266,0.094,62.0,66,7,10.61,0.72 (0.26-1.17),59,89.39,3.58 (3.19-3.96)
oligodendrocyte progenitor cells 12,3303,0.095,69.0,276,8,2.9,2.15 (1.52-2.78),268,97.1,3.59 (3.37-3.81)
oligodendrocytes 10,2107,0.151,51.0,358,10,2.79,0.99 (0.30-1.68),348,97.21,3.97 (3.79-4.16)
connective tissue cells 21,90,0.283,44.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29)
astrocytes 15,443,0.141,39.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,74,0.136,20.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,553,0.13,53.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,253,0.25,47.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,752,0.182,89.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186,0.147,55.0,300,4,1.33,3.89 (0.31-7.47),296,98.67,3.79 (3.59-4.00)
microglia 1,958,0.147,88.0,290,3,1.03,2.11 (1.95-2.27),287,98.97,3.84 (3.61-4.07)
oligodendrocytes 3,681,0.103,58.0,87,4,4.6,1.10 (-0.00-2.21),83,95.4,2.66 (2.39-2.93)
oligodendrocytes 2,921,0.141,56.0,200,3,1.5,2.34 (1.88-2.81),197,98.5,3.65 (3.38-3.91)
