tipo_celular,module_size,NUCKS1_MM,NUCKS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.171,32.0,98,9,9.18,1.89 (1.12-2.65),89,90.82,3.41 (2.90-3.93)
T cells 18,727,0.123,33.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.101,15.0,166,45,27.11,2.55 (2.12-2.97),121,72.89,3.76 (3.48-4.04)
oligodendrocyte progenitor cells 7,4285,0.079,2.0,353,67,18.98,2.22 (1.94-2.49),286,81.02,4.40 (4.22-4.57)
GABA neurons expressing GLU receptors 22,848,0.319,79.0,262,14,5.34,2.67 (1.57-3.76),248,94.66,4.26 (4.01-4.51)
GLU like neurons 17,637,0.115,30.0,91,10,10.99,0.87 (0.45-1.29),81,89.01,5.18 (4.75-5.61)
da like neurons 11,1220,0.16,42.0,410,5,1.22,3.50 (1.79-5.21),405,98.78,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,238,0.29,92.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,916,0.144,29.0,302,4,1.32,3.59 (0.56-6.62),298,98.68,3.99 (3.76-4.21)
oligodendrocytes 20,250,0.121,23.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402,0.25,55.0,455,24,5.27,1.79 (1.21-2.37),431,94.73,4.54 (4.37-4.72)
astrocytes 8,771,0.098,41.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708,0.119,53.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,735,0.105,56.0,277,4,1.44,6.03 (5.93-6.13),273,98.56,3.87 (3.63-4.11)
connective tissue cells 21,142,0.306,42.0,55,8,14.55,1.80 (0.58-3.01),47,85.45,4.06 (3.12-5.01)
astrocytes 15,377,0.073,8.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,113,0.141,7.0,10,2,20.0,2.92 (2.69-3.15),8,80.0,2.94 (1.92-3.97)
da neurons 6,448,0.258,99.0,43,1,2.33,3.78 (NA-NA),42,97.67,3.27 (2.73-3.80)
astrocytes microglia 23,161,0.153,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752,0.113,6.0,96,11,11.46,2.45 (2.06-2.84),85,88.54,3.43 (3.06-3.80)
oligodendrocytes 0,613,0.158,65.0,127,19,14.96,2.38 (1.98-2.79),108,85.04,3.23 (2.73-3.74)
microglia 1,958,0.079,7.0,290,16,5.52,2.30 (1.50-3.11),274,94.48,3.91 (3.68-4.14)
oligodendrocytes 3,743,0.096,67.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528,0.274,79.0,175,4,2.29,3.98 (1.65-6.30),171,97.71,4.39 (4.04-4.75)
