tipo_celular,module_size,KCTD20_MM,KCTD20_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.256,75.0,102,12,11.76,2.08 (1.30-2.86),90,88.24,3.70 (3.32-4.08)
T cells 18,477,0.259,91.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423,0.129,35.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285,0.123,31.0,353,5,1.42,0.82 (0.23-1.40),348,98.58,3.95 (3.76-4.13)
GABA neurons expressing GLU receptors 22,1069,0.157,44.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316,0.066,7.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,77,0.105,15.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,77,0.126,16.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.60 (2.98-4.21)
endothelial cells 9,303,0.11,26.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,403,0.05,18.0,18,2,11.11,0.89 (0.76-1.02),16,88.89,2.00 (1.26-2.74)
GABA like neurons 14,3052,0.106,22.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577,0.085,50.0,83,2,2.41,1.36 (0.40-2.32),81,97.59,3.31 (2.86-3.76)
oligodendrocyte progenitor cells 12,3303,0.039,7.0,276,8,2.9,2.03 (1.27-2.79),268,97.1,3.60 (3.38-3.82)
oligodendrocytes 10,735,0.075,34.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,152,0.258,50.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,338,0.179,70.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,86,0.168,40.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.061,2.0,124,3,2.42,4.05 (2.93-5.17),121,97.58,4.19 (3.78-4.59)
astrocytes microglia 23,125,0.3,36.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,514,0.142,22.0,95,5,5.26,1.95 (0.32-3.58),90,94.74,3.47 (3.05-3.90)
oligodendrocytes 0,2078,0.126,74.0,238,2,0.84,1.42 (-0.96-3.80),236,99.16,3.66 (3.44-3.88)
microglia 1,480,0.239,70.0,163,5,3.07,5.26 (5.16-5.37),158,96.93,3.65 (3.38-3.92)
oligodendrocytes 3,854,0.048,5.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630,0.159,84.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
