tipo_celular,module_size,MIB1_MM,MIB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.14,14.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79)
T cells 18,477,0.177,60.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932,0.134,81.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06)
oligodendrocyte progenitor cells 7,448,0.107,25.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,459,0.184,61.0,165,6,3.64,1.68 (0.99-2.37),159,96.36,5.25 (4.92-5.58)
GLU like neurons 17,1247,0.16,68.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,209,0.305,79.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,200,0.145,45.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,1653,0.142,62.0,297,9,3.03,3.04 (2.03-4.05),288,96.97,3.68 (3.47-3.88)
oligodendrocytes 20,330,0.147,38.0,36,2,5.56,2.44 (-0.37-5.25),34,94.44,1.89 (1.54-2.23)
GABA like neurons 14,1300,0.156,25.0,306,16,5.23,2.13 (1.61-2.65),290,94.77,5.34 (5.09-5.59)
astrocytes 8,140,0.28,87.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,138,0.537,91.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,2107,0.218,74.0,358,37,10.34,2.11 (1.62-2.59),321,89.66,4.08 (3.89-4.27)
connective tissue cells 21,111,0.221,16.0,26,11,42.31,3.36 (2.88-3.84),15,57.69,2.17 (1.30-3.03)
astrocytes 15,377,0.107,17.0,14,4,28.57,2.48 (-1.59-6.56),10,71.43,2.05 (0.68-3.42)
oligodendrocytes 16,65,0.159,32.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.092,37.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,190,0.254,42.0,7,1,14.29,3.22 (NA-NA),6,85.71,5.16 (4.09-6.24)
astrocytes 4,255,0.232,82.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,1186,0.183,95.0,300,4,1.33,2.06 (NA-NA),296,98.67,3.80 (3.59-4.01)
microglia 1,958,0.137,82.0,290,11,3.79,2.08 (1.42-2.74),279,96.21,3.90 (3.67-4.13)
oligodendrocytes 3,681,0.104,59.0,87,11,12.64,1.89 (1.23-2.55),76,87.36,2.69 (2.40-2.98)
oligodendrocytes 2,407,0.174,69.0,122,14,11.48,1.30 (0.76-1.84),108,88.52,3.68 (3.28-4.07)
