tipo_celular,module_size,WIPI2_MM,WIPI2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.175,43.0,102,13,12.75,3.49 (2.60-4.39),89,87.25,3.50 (3.10-3.90)
T cells 18,624,0.143,42.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656,0.086,10.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285,0.096,7.0,353,38,10.76,2.41 (1.82-3.00),315,89.24,4.10 (3.92-4.28)
GABA neurons expressing GLU receptors 22,1069,0.064,2.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316,0.094,23.0,101,3,2.97,4.94 (2.89-6.98),98,97.03,2.98 (2.63-3.33)
da like neurons 11,1220,0.077,6.0,410,12,2.93,3.67 (2.48-4.87),398,97.07,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,77,0.211,70.0,8,5,62.5,2.88 (1.85-3.92),3,37.5,4.52 (NA-NA)
endothelial cells 9,303,0.051,4.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,403,0.107,44.0,18,9,50.0,0.95 (0.43-1.47),9,50.0,2.81 (1.88-3.73)
GABA like neurons 14,2402,0.249,55.0,455,27,5.93,2.56 (1.83-3.29),428,94.07,4.50 (4.32-4.68)
astrocytes 8,283,0.071,18.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049,0.04,9.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,735,0.052,13.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14)
connective tissue cells 21,112,0.084,0.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73)
astrocytes 15,1768,0.078,42.0,105,19,18.1,2.70 (1.81-3.59),86,81.9,3.34 (2.99-3.69)
oligodendrocytes 16,65,0.09,4.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.087,32.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,118,0.293,43.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.142,45.0,104,17,16.35,2.12 (1.46-2.77),87,83.65,3.01 (2.71-3.31)
oligodendrocytes 0,2078,0.11,41.0,238,11,4.62,4.24 (2.22-6.27),227,95.38,3.61 (3.40-3.83)
microglia 1,480,0.148,28.0,163,2,1.23,3.67 (0.29-7.05),161,98.77,3.71 (3.44-3.98)
oligodendrocytes 3,743,0.038,2.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630,0.125,19.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
