tipo_celular,module_size,ATRX_MM,ATRX_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249,0.164,59.0,35,1,2.86,NA,34,97.14,3.74 (2.80-4.69)
T cells 18,388,0.077,9.0,84,10,11.9,2.55 (2.24-2.86),74,88.1,3.03 (2.66-3.39)
astrocytes 5,1141,0.183,96.0,166,59,35.54,2.69 (2.36-3.03),107,64.46,3.84 (3.53-4.16)
oligodendrocyte progenitor cells 7,448,0.097,17.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70)
GABA neurons expressing GLU receptors 22,192,0.19,76.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71)
GLU like neurons 17,1247,0.117,37.0,51,2,3.92,2.00 (NA-NA),49,96.08,3.66 (3.08-4.25)
da like neurons 11,209,0.191,57.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,200,0.166,59.0,34,2,5.88,3.66 (3.64-3.69),32,94.12,3.91 (2.95-4.87)
endothelial cells 9,1653,0.111,36.0,297,24,8.08,3.90 (3.32-4.47),273,91.92,3.66 (3.44-3.87)
oligodendrocytes 20,676,0.094,34.0,110,10,9.09,2.12 (1.21-3.02),100,90.91,5.37 (4.95-5.78)
GABA like neurons 14,1300,0.127,15.0,306,18,5.88,2.40 (1.72-3.07),288,94.12,5.35 (5.10-5.60)
astrocytes 8,727,0.07,25.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,153,0.39,44.0,27,1,3.7,3.41 (NA-NA),26,96.3,4.87 (3.81-5.93)
oligodendrocytes 10,130,0.349,38.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111,0.278,50.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,377,0.111,18.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,153,0.165,8.0,14,1,7.14,3.79 (NA-NA),13,92.86,4.74 (3.97-5.52)
da neurons 6,448,0.13,75.0,43,4,9.3,3.79 (3.71-3.88),39,90.7,3.21 (2.63-3.80)
astrocytes microglia 23,141,0.188,11.0,30,3,10.0,1.82 (1.65-1.99),27,90.0,6.27 (5.57-6.97)
astrocytes 4,752,0.185,91.0,96,27,28.12,3.34 (2.90-3.79),69,71.88,3.26 (2.82-3.71)
oligodendrocytes 0,613,0.099,9.0,127,25,19.69,2.67 (2.13-3.22),102,80.31,3.19 (2.66-3.71)
microglia 1,315,0.123,24.0,144,5,3.47,4.10 (2.24-5.97),139,96.53,4.47 (4.16-4.78)
oligodendrocytes 3,357,0.205,90.0,127,9,7.09,4.18 (2.95-5.42),118,92.91,3.08 (2.74-3.42)
oligodendrocytes 2,407,0.123,16.0,122,61,50.0,2.16 (1.91-2.41),61,50.0,5.38 (4.92-5.83)
