tipo_celular,module_size,HINT1_MM,HINT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.222,66.0,140,16,11.43,5.37 (4.57-6.16),124,88.57,4.31 (3.84-4.79)
T cells 18,506,0.23,63.0,225,18,8.0,2.57 (1.77-3.36),207,92.0,3.70 (3.44-3.96)
astrocytes 5,328,0.191,62.0,128,4,3.12,4.82 (3.73-5.91),124,96.88,3.51 (3.16-3.86)
oligodendrocyte progenitor cells 7,628,0.241,81.0,164,3,1.83,3.17 (1.32-5.02),161,98.17,4.11 (3.78-4.44)
GABA neurons expressing GLU receptors 22,487,0.406,93.0,73,5,6.85,1.47 (1.37-1.56),68,93.15,2.87 (2.46-3.27)
GLU like neurons 17,1316,0.057,4.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,1220,0.483,97.0,410,33,8.05,3.57 (3.13-4.01),377,91.95,4.32 (4.12-4.52)
GABA neurons expressing GABA receptors 13,417,0.27,94.0,213,36,16.9,2.29 (1.78-2.81),177,83.1,4.12 (3.87-4.36)
endothelial cells 9,916,0.409,86.0,302,15,4.97,3.59 (2.95-4.24),287,95.03,4.01 (3.77-4.25)
oligodendrocytes 20,938,0.136,55.0,169,22,13.02,3.17 (2.55-3.80),147,86.98,3.52 (3.29-3.76)
GABA like neurons 14,2402,0.733,100.0,455,44,9.67,2.52 (2.03-3.01),411,90.33,4.59 (4.40-4.77)
astrocytes 8,520,0.251,80.0,288,27,9.38,3.34 (2.76-3.92),261,90.62,4.26 (4.05-4.47)
oligodendrocyte progenitor cells 12,1049,0.166,79.0,235,14,5.96,3.64 (3.10-4.18),221,94.04,3.83 (3.59-4.08)
oligodendrocytes 10,735,0.33,100.0,277,8,2.89,3.84 (3.71-3.97),269,97.11,3.90 (3.64-4.15)
connective tissue cells 21,142,0.394,89.0,55,8,14.55,1.73 (0.67-2.79),47,85.45,4.09 (3.14-5.05)
astrocytes 15,1768,0.114,74.0,105,20,19.05,1.72 (1.32-2.11),85,80.95,3.60 (3.24-3.96)
oligodendrocytes 16,82,0.249,75.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729,0.317,97.0,182,5,2.75,1.47 (1.37-1.56),177,97.25,3.71 (3.46-3.96)
astrocytes microglia 23,42,0.466,98.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,157,0.19,57.0,178,26,14.61,2.96 (2.30-3.61),152,85.39,4.37 (4.09-4.65)
oligodendrocytes 0,546,0.242,77.0,252,36,14.29,2.29 (1.77-2.80),216,85.71,4.44 (4.20-4.69)
microglia 1,214,0.209,58.0,227,20,8.81,3.71 (3.37-4.06),207,91.19,4.13 (3.87-4.39)
oligodendrocytes 3,457,0.245,89.0,345,15,4.35,3.53 (2.91-4.16),330,95.65,4.30 (4.09-4.52)
oligodendrocytes 2,526,0.341,73.0,213,9,4.23,3.92 (3.86-3.98),204,95.77,3.98 (3.69-4.27)
