tipo_celular,module_size,CAND1_MM,CAND1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.151,40.0,140,9,6.43,3.18 (3.18-3.18),131,93.57,4.54 (4.11-4.97)
T cells 18,610,0.118,23.0,98,25,25.51,1.70 (1.26-2.14),73,74.49,3.68 (3.37-3.99)
astrocytes 5,1656,0.153,96.0,136,3,2.21,3.31 (1.79-4.83),133,97.79,3.21 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285,0.15,72.0,353,38,10.76,2.24 (1.78-2.71),315,89.24,4.16 (3.97-4.34)
GABA neurons expressing GLU receptors 22,848,0.349,84.0,262,33,12.6,2.96 (2.30-3.62),229,87.4,4.32 (4.06-4.58)
GLU like neurons 17,1316,0.102,31.0,101,3,2.97,3.50 (2.37-4.63),98,97.03,3.03 (2.67-3.40)
da like neurons 11,1220,0.161,43.0,410,29,7.07,2.92 (2.40-3.45),381,92.93,4.33 (4.14-4.53)
GABA neurons expressing GABA receptors 13,357,0.158,48.0,237,3,1.27,NA,234,98.73,4.41 (4.18-4.64)
endothelial cells 9,338,0.084,22.0,191,2,1.05,3.18 (3.18-3.18),189,98.95,3.89 (3.67-4.12)
oligodendrocytes 20,330,0.149,39.0,36,7,19.44,2.20 (1.69-2.71),29,80.56,1.85 (1.43-2.27)
GABA like neurons 14,2402,0.271,60.0,455,45,9.89,2.32 (1.83-2.81),410,90.11,4.58 (4.39-4.76)
astrocytes 8,520,0.13,57.0,288,28,9.72,2.68 (2.15-3.22),260,90.28,4.30 (4.09-4.50)
oligodendrocyte progenitor cells 12,3303,0.122,90.0,276,28,10.14,2.68 (2.18-3.17),248,89.86,3.67 (3.44-3.91)
oligodendrocytes 10,806,0.199,63.0,261,14,5.36,2.74 (2.20-3.28),247,94.64,4.43 (4.18-4.67)
connective tissue cells 21,100,0.245,25.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443,0.168,62.0,9,6,66.67,3.73 (2.40-5.05),3,33.33,1.89 (-1.31-5.09)
oligodendrocytes 16,81,0.16,24.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,518,0.202,96.0,122,20,16.39,1.77 (1.17-2.37),102,83.61,4.45 (4.06-4.83)
astrocytes microglia 23,108,0.271,24.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,787,0.16,66.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,613,0.116,21.0,127,5,3.94,2.39 (1.48-3.30),122,96.06,3.09 (2.66-3.53)
microglia 1,214,0.118,20.0,227,15,6.61,3.17 (1.87-4.48),212,93.39,4.11 (3.87-4.35)
oligodendrocytes 3,457,0.067,19.0,345,30,8.7,3.44 (2.90-3.97),315,91.3,4.34 (4.12-4.56)
oligodendrocytes 2,921,0.17,91.0,200,8,4.0,3.07 (2.50-3.64),192,96.0,3.65 (3.37-3.93)
