tipo_celular,module_size,ACTR2_MM,ACTR2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.163,43.0,73,2,2.74,3.13 (NA-NA),71,97.26,3.57 (3.22-3.92)
T cells 18,393,0.192,70.0,59,3,5.08,4.03 (4.03-4.03),56,94.92,3.05 (2.52-3.58)
astrocytes 5,228,0.108,14.0,266,46,17.29,2.95 (2.32-3.57),220,82.71,4.31 (4.10-4.52)
oligodendrocyte progenitor cells 7,4285,0.129,40.0,353,68,19.26,2.38 (2.07-2.70),285,80.74,4.39 (4.21-4.57)
GABA neurons expressing GLU receptors 22,400,0.259,81.0,24,8,33.33,0.92 (0.18-1.67),16,66.67,2.77 (2.35-3.19)
GLU like neurons 17,1316,0.208,94.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,102,0.173,29.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20)
GABA neurons expressing GABA receptors 13,65,0.23,83.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,559,0.126,37.0,155,5,3.23,5.07 (1.28-8.86),150,96.77,4.32 (3.96-4.69)
oligodendrocytes 20,295,0.079,13.0,28,6,21.43,2.37 (1.95-2.80),22,78.57,2.14 (1.55-2.72)
GABA like neurons 14,2402,0.361,75.0,455,48,10.55,2.30 (1.75-2.85),407,89.45,4.57 (4.39-4.75)
astrocytes 8,520,0.085,34.0,288,35,12.15,3.54 (2.82-4.26),253,87.85,4.23 (4.03-4.44)
oligodendrocyte progenitor cells 12,3303,0.093,68.0,276,50,18.12,2.18 (1.94-2.43),226,81.88,3.97 (3.73-4.21)
oligodendrocytes 10,483,0.143,59.0,129,8,6.2,4.21 (3.48-4.94),121,93.8,3.39 (2.98-3.80)
connective tissue cells 21,106,0.289,54.0,4,2,50.0,4.95 (4.95-4.95),2,50.0,5.06 (NA-NA)
astrocytes 15,1401,0.045,13.0,96,28,29.17,4.19 (3.52-4.86),68,70.83,3.36 (2.80-3.93)
oligodendrocytes 16,158,0.217,63.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,553,0.17,74.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,253,0.197,20.0,47,6,12.77,2.16 (1.58-2.73),41,87.23,2.96 (2.60-3.32)
astrocytes 4,787,0.136,23.0,65,5,7.69,4.26 (3.54-4.98),60,92.31,2.82 (2.41-3.23)
oligodendrocytes 0,613,0.123,29.0,127,13,10.24,2.03 (1.70-2.35),114,89.76,3.25 (2.77-3.73)
microglia 1,958,0.103,38.0,290,15,5.17,2.01 (1.60-2.42),275,94.83,3.94 (3.71-4.17)
oligodendrocytes 3,457,0.072,22.0,345,33,9.57,3.42 (2.82-4.02),312,90.43,4.34 (4.12-4.56)
oligodendrocytes 2,528,0.148,18.0,175,33,18.86,3.80 (3.15-4.45),142,81.14,4.48 (4.09-4.87)
