tipo_celular,module_size,NF1_MM,NF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.133,18.0,140,40,28.57,4.34 (3.83-4.86),100,71.43,4.65 (4.31-4.99)
T cells 18,624,0.193,79.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,118,0.245,72.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,436,0.042,3.0,219,29,13.24,4.58 (3.97-5.18),190,86.76,5.32 (5.00-5.63)
GABA neurons expressing GLU receptors 22,487,0.048,2.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,229,0.143,18.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,853,0.225,89.0,133,25,18.8,2.25 (1.64-2.87),108,81.2,3.54 (3.20-3.88)
GABA neurons expressing GABA receptors 13,238,0.195,68.0,36,1,2.78,5.16 (NA-NA),35,97.22,3.83 (3.30-4.37)
endothelial cells 9,1653,0.258,99.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,676,0.535,83.0,110,32,29.09,4.06 (3.46-4.67),78,70.91,5.57 (5.01-6.14)
GABA like neurons 14,1300,0.228,60.0,306,72,23.53,4.07 (3.62-4.51),234,76.47,5.55 (5.25-5.84)
astrocytes 8,279,0.252,40.0,78,30,38.46,3.38 (2.84-3.93),48,61.54,4.94 (4.44-5.45)
oligodendrocyte progenitor cells 12,411,0.259,65.0,103,9,8.74,4.34 (3.24-5.44),94,91.26,5.66 (5.26-6.07)
oligodendrocytes 10,236,0.317,11.0,82,31,37.8,4.93 (4.40-5.46),51,62.2,5.05 (4.20-5.90)
connective tissue cells 21,111,0.235,21.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,268,0.291,90.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29)
oligodendrocytes 16,287,0.374,70.0,105,40,38.1,4.18 (3.60-4.76),65,61.9,6.08 (5.56-6.59)
da neurons 6,398,0.166,56.0,138,58,42.03,4.07 (3.57-4.57),80,57.97,5.51 (5.03-5.99)
astrocytes microglia 23,110,0.153,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,220,0.12,21.0,63,25,39.68,4.04 (3.45-4.63),38,60.32,6.05 (5.30-6.80)
oligodendrocytes 0,261,0.197,59.0,42,26,61.9,3.89 (3.00-4.78),16,38.1,4.44 (3.39-5.48)
microglia 1,315,0.158,43.0,144,23,15.97,4.49 (3.71-5.26),121,84.03,4.45 (4.12-4.79)
oligodendrocytes 3,116,0.307,81.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,348,0.099,5.0,114,50,43.86,4.74 (4.33-5.14),64,56.14,5.50 (4.79-6.21)
