tipo_celular,module_size,PTBP2_MM,PTBP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.175,49.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349,0.202,56.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12)
astrocytes 5,1141,0.166,88.0,166,25,15.06,2.09 (1.60-2.58),141,84.94,3.67 (3.40-3.93)
oligodendrocyte progenitor cells 7,448,0.158,64.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,567,0.168,38.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637,0.224,70.0,91,8,8.79,0.85 (0.24-1.46),83,91.21,5.04 (4.58-5.49)
da like neurons 11,200,0.304,82.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,288,0.222,67.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80)
endothelial cells 9,450,0.213,51.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676,0.429,71.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,1300,0.143,20.0,306,6,1.96,1.26 (0.53-2.00),300,98.04,5.21 (4.95-5.46)
astrocytes 8,771,0.345,85.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,153,0.389,43.0,27,0,0.0,NA,27,100.0,4.76 (3.76-5.76)
oligodendrocytes 10,236,0.254,6.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,110,0.274,56.0,13,1,7.69,0.94 (NA-NA),12,92.31,3.30 (2.48-4.11)
astrocytes 15,458,0.154,75.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,287,0.314,52.0,105,3,2.86,0.90 (0.75-1.04),102,97.14,5.26 (4.85-5.68)
da neurons 6,518,0.126,66.0,122,7,5.74,1.14 (0.18-2.09),115,94.26,4.18 (3.80-4.57)
astrocytes microglia 23,190,0.188,5.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,752,0.188,93.0,96,9,9.38,3.24 (2.58-3.91),87,90.62,3.30 (2.93-3.66)
oligodendrocytes 0,479,0.184,72.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,127,0.127,27.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,99,0.205,35.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19)
oligodendrocytes 2,348,0.23,63.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
