tipo_celular,module_size,NRG3_MM,NRG3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.262,74.0,15,2,13.33,5.98 (2.61-9.34),13,86.67,5.75 (5.10-6.40)
T cells 18,282,0.374,99.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,499,0.168,53.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,200,0.207,64.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,459,0.354,95.0,165,13,7.88,2.51 (1.89-3.13),152,92.12,5.39 (5.06-5.73)
GLU like neurons 17,795,0.291,93.0,80,3,3.75,3.14 (1.95-4.33),77,96.25,5.82 (5.43-6.22)
da like neurons 11,172,0.397,92.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,288,0.23,71.0,93,16,17.2,3.27 (2.36-4.19),77,82.8,5.69 (5.19-6.19)
endothelial cells 9,450,0.18,41.0,74,2,2.7,3.52 (0.04-7.00),72,97.3,5.55 (4.99-6.10)
oligodendrocytes 20,221,0.134,21.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,1300,0.321,93.0,306,35,11.44,3.33 (2.75-3.92),271,88.56,5.44 (5.18-5.71)
astrocytes 8,1266,0.501,100.0,66,8,12.12,2.45 (1.43-3.48),58,87.88,3.35 (2.90-3.80)
oligodendrocyte progenitor cells 12,411,0.316,75.0,103,6,5.83,5.35 (4.41-6.29),97,94.17,5.56 (5.15-5.97)
oligodendrocytes 10,1277,0.181,85.0,27,1,3.7,6.33 (NA-NA),26,96.3,5.35 (4.44-6.26)
connective tissue cells 21,250,0.4,71.0,117,13,11.11,3.16 (2.18-4.15),104,88.89,5.74 (5.36-6.11)
astrocytes 15,418,0.08,44.0,54,4,7.41,2.97 (1.87-4.07),50,92.59,3.75 (3.28-4.21)
oligodendrocytes 16,149,0.592,99.0,70,8,11.43,5.39 (4.70-6.08),62,88.57,5.70 (5.15-6.25)
da neurons 6,398,0.208,70.0,138,18,13.04,3.23 (2.39-4.06),120,86.96,5.11 (4.73-5.50)
astrocytes microglia 23,91,0.293,62.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,220,0.24,84.0,63,3,4.76,3.55 (2.20-4.90),60,95.24,5.23 (4.65-5.82)
oligodendrocytes 0,1186,0.065,1.0,300,6,2.0,3.67 (3.34-4.00),294,98.0,3.80 (3.59-4.01)
microglia 1,127,0.217,62.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12)
oligodendrocytes 3,94,0.564,100.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,347,0.239,68.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
