tipo_celular,module_size,SDCBP_MM,SDCBP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.25,72.0,102,38,37.25,2.59 (2.23-2.96),64,62.75,4.08 (3.59-4.58)
T cells 18,518,0.263,92.0,131,3,2.29,3.32 (2.27-4.37),128,97.71,3.07 (2.79-3.35)
astrocytes 5,228,0.169,47.0,266,60,22.56,2.92 (2.51-3.32),206,77.44,4.48 (4.26-4.69)
oligodendrocyte progenitor cells 7,296,0.176,48.0,251,10,3.98,3.58 (2.17-4.98),241,96.02,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,192,0.152,64.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71)
GLU like neurons 17,1316,0.166,82.0,101,5,4.95,3.05 (2.43-3.66),96,95.05,3.05 (2.68-3.42)
da like neurons 11,1220,0.221,63.0,410,45,10.98,3.47 (2.98-3.97),365,89.02,4.34 (4.15-4.54)
GABA neurons expressing GABA receptors 13,266,0.069,1.0,118,13,11.02,4.60 (3.95-5.25),105,88.98,4.76 (4.36-5.16)
endothelial cells 9,559,0.351,88.0,155,10,6.45,5.09 (3.41-6.78),145,93.55,4.29 (3.92-4.66)
oligodendrocytes 20,279,0.145,26.0,16,3,18.75,3.83 (3.16-4.50),13,81.25,2.16 (1.37-2.96)
GABA like neurons 14,2402,0.208,44.0,455,63,13.85,2.79 (2.36-3.22),392,86.15,4.62 (4.43-4.81)
astrocytes 8,520,0.182,68.0,288,58,20.14,3.68 (3.30-4.06),230,79.86,4.31 (4.08-4.54)
oligodendrocyte progenitor cells 12,3303,0.061,27.0,276,63,22.83,2.50 (2.20-2.79),213,77.17,3.97 (3.72-4.22)
oligodendrocytes 10,483,0.167,66.0,129,3,2.33,4.31 (3.88-4.73),126,97.67,3.40 (3.00-3.80)
connective tissue cells 21,91,0.35,77.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,377,0.043,6.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,121,0.26,75.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,300,0.208,66.0,159,14,8.81,5.69 (5.14-6.24),145,91.19,4.23 (3.91-4.56)
astrocytes microglia 23,327,0.266,25.0,120,54,45.0,2.72 (2.37-3.08),66,55.0,4.41 (4.05-4.77)
astrocytes 4,1807,0.14,41.0,104,28,26.92,2.07 (1.61-2.52),76,73.08,3.19 (2.87-3.51)
oligodendrocytes 0,116,0.093,12.0,169,6,3.55,3.69 (2.13-5.26),163,96.45,4.31 (4.00-4.61)
microglia 1,480,0.263,78.0,163,28,17.18,4.16 (3.76-4.56),135,82.82,3.60 (3.29-3.91)
oligodendrocytes 3,457,0.117,52.0,345,54,15.65,3.38 (3.04-3.72),291,84.35,4.46 (4.22-4.69)
oligodendrocytes 2,528,0.179,36.0,175,32,18.29,3.55 (3.00-4.11),143,81.71,4.56 (4.16-4.96)
