tipo_celular,module_size,KIF5B_MM,KIF5B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.182,37.0,17,1,5.88,NA,16,94.12,1.90 (1.29-2.52)
T cells 18,518,0.251,91.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1141,0.125,40.0,166,7,4.22,1.28 (0.47-2.09),159,95.78,3.47 (3.22-3.72)
oligodendrocyte progenitor cells 7,4285,0.156,81.0,353,38,10.76,2.82 (2.27-3.37),315,89.24,4.05 (3.86-4.24)
GABA neurons expressing GLU receptors 22,487,0.088,4.0,73,3,4.11,2.12 (1.04-3.20),70,95.89,2.79 (2.39-3.19)
GLU like neurons 17,685,0.079,15.0,135,20,14.81,2.69 (1.75-3.63),115,85.19,3.27 (2.94-3.59)
da like neurons 11,82,0.144,18.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,77,0.076,3.0,3,1,33.33,NA,2,66.67,1.59 (0.34-2.85)
endothelial cells 9,559,0.253,74.0,155,2,1.29,3.42 (NA-NA),153,98.71,4.35 (3.98-4.71)
oligodendrocytes 20,228,0.117,19.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,2402,0.186,37.0,455,37,8.13,3.39 (2.70-4.08),418,91.87,4.44 (4.25-4.63)
astrocytes 8,577,0.071,39.0,83,3,3.61,1.70 (0.08-3.32),80,96.39,3.30 (2.84-3.75)
oligodendrocyte progenitor cells 12,3303,0.148,98.0,276,34,12.32,3.14 (2.57-3.71),242,87.68,3.60 (3.37-3.84)
oligodendrocytes 10,2107,0.088,22.0,358,36,10.06,2.29 (1.76-2.81),322,89.94,4.09 (3.90-4.28)
connective tissue cells 21,139,0.218,14.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1768,0.123,80.0,105,13,12.38,2.19 (1.48-2.91),92,87.62,3.36 (3.00-3.71)
oligodendrocytes 16,82,0.189,63.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.069,5.0,124,22,17.74,4.66 (3.52-5.80),102,82.26,4.12 (3.70-4.53)
astrocytes microglia 23,132,0.238,13.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787,0.188,98.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36)
oligodendrocytes 0,613,0.173,76.0,127,8,6.3,3.54 (3.17-3.92),119,93.7,3.00 (2.54-3.45)
microglia 1,958,0.101,34.0,290,26,8.97,3.06 (2.38-3.73),264,91.03,3.91 (3.67-4.15)
oligodendrocytes 3,94,0.049,12.0,7,2,28.57,8.28 (8.28-8.28),5,71.43,2.97 (1.07-4.87)
oligodendrocytes 2,921,0.168,90.0,200,10,5.0,3.46 (2.96-3.96),190,95.0,3.63 (3.35-3.91)
