tipo_celular,module_size,PEA15_MM,PEA15_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.214,61.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,228.0,0.152,38.0,266,17,6.39,2.55 (1.58-3.51),249,93.61,4.26 (4.06-4.46)
oligodendrocyte progenitor cells 7,296.0,0.187,55.0,251,3,1.2,5.25 (2.83-7.67),248,98.8,4.04 (3.81-4.28)
GABA neurons expressing GLU receptors 22,599.0,0.049,0.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,637.0,0.157,50.0,91,10,10.99,1.13 (0.42-1.84),81,89.01,5.13 (4.69-5.58)
da like neurons 11,1220.0,0.297,80.0,410,12,2.93,3.66 (2.40-4.91),398,97.07,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,265.0,0.256,85.0,78,5,6.41,2.84 (1.89-3.80),73,93.59,4.50 (4.07-4.92)
endothelial cells 9,559.0,0.172,56.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,938.0,0.218,85.0,169,4,2.37,2.50 (0.09-4.90),165,97.63,3.51 (3.29-3.73)
GABA like neurons 14,2402.0,0.282,62.0,455,15,3.3,1.53 (0.90-2.17),440,96.7,4.48 (4.30-4.66)
astrocytes 8,520.0,0.134,58.0,288,7,2.43,3.04 (1.20-4.87),281,97.57,4.21 (4.01-4.41)
oligodendrocyte progenitor cells 12,708.0,0.172,72.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,806.0,0.243,70.0,261,7,2.68,3.80 (2.28-5.32),254,97.32,4.39 (4.14-4.63)
connective tissue cells 21,116.0,0.254,31.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,443.0,0.105,15.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,66.0,0.157,16.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.131,53.0,124,3,2.42,4.01 (-0.11-8.14),121,97.58,4.19 (3.80-4.58)
astrocytes microglia 23,140.0,0.337,73.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,157.0,0.16,36.0,178,13,7.3,2.51 (1.31-3.71),165,92.7,4.32 (4.07-4.58)
oligodendrocytes 0,546.0,0.167,48.0,252,14,5.56,1.53 (0.82-2.23),238,94.44,4.29 (4.06-4.53)
microglia 1,214.0,0.136,28.0,227,6,2.64,4.45 (3.00-5.91),221,97.36,4.08 (3.84-4.32)
oligodendrocytes 3,303.0,0.162,60.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,528.0,0.473,97.0,175,8,4.57,3.74 (3.01-4.47),167,95.43,4.43 (4.06-4.80)
