tipo_celular,module_size,HNRNPDL_MM,HNRNPDL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.229,65.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,518,0.145,43.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36)
astrocytes 5,328,0.152,44.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,448,0.176,74.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,400,0.203,54.0,24,8,33.33,0.92 (0.18-1.67),16,66.67,2.77 (2.35-3.19)
GLU like neurons 17,380,0.13,22.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,408,0.141,40.0,25,7,28.0,1.31 (0.53-2.09),18,72.0,6.03 (4.79-7.27)
GABA neurons expressing GABA receptors 13,288,0.075,2.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80)
endothelial cells 9,385,0.048,3.0,275,39,14.18,1.76 (1.46-2.07),236,85.82,4.52 (4.27-4.77)
oligodendrocytes 20,676,0.322,58.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,2402,0.313,68.0,455,26,5.71,1.62 (1.19-2.05),429,94.29,4.58 (4.40-4.75)
astrocytes 8,771,0.191,66.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,143,0.407,34.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,130,0.428,56.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,103,0.241,25.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,338,0.179,69.0,14,1,7.14,4.40 (NA-NA),13,92.86,1.55 (0.90-2.20)
oligodendrocytes 16,153,0.351,47.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398,0.112,30.0,138,9,6.52,1.65 (0.77-2.52),129,93.48,5.09 (4.74-5.44)
astrocytes microglia 23,253,0.279,66.0,47,4,8.51,1.85 (1.23-2.48),43,91.49,2.95 (2.61-3.30)
astrocytes 4,208,0.142,19.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10)
oligodendrocytes 0,546,0.165,47.0,252,21,8.33,1.42 (1.01-1.82),231,91.67,4.42 (4.19-4.65)
microglia 1,1615,0.067,3.0,161,36,22.36,1.56 (1.27-1.85),125,77.64,3.92 (3.66-4.17)
oligodendrocytes 3,116,0.258,38.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,526,0.154,16.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
