tipo_celular,module_size,EIF5_MM,EIF5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.096,9.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93)
T cells 18,282,0.123,12.0,12,2,16.67,5.22 (4.99-5.45),10,83.33,2.92 (1.71-4.13)
astrocytes 5,328,0.128,30.0,128,3,2.34,3.03 (2.34-3.72),125,97.66,3.59 (3.23-3.94)
oligodendrocyte progenitor cells 7,666,0.257,86.0,127,6,4.72,1.98 (0.66-3.29),121,95.28,3.95 (3.61-4.28)
GABA neurons expressing GLU receptors 22,599,0.245,68.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,637,0.141,43.0,91,13,14.29,2.51 (1.63-3.38),78,85.71,5.02 (4.48-5.56)
da like neurons 11,1220,0.31,83.0,410,24,5.85,3.85 (3.17-4.54),386,94.15,4.28 (4.09-4.48)
GABA neurons expressing GABA receptors 13,238,0.14,33.0,36,1,2.78,5.10 (NA-NA),35,97.22,3.84 (3.30-4.37)
endothelial cells 9,385,0.192,90.0,275,43,15.64,2.90 (2.37-3.42),232,84.36,4.25 (3.97-4.53)
oligodendrocytes 20,298,0.1,38.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2402,0.492,88.0,455,36,7.91,3.16 (2.53-3.80),419,92.09,4.48 (4.29-4.67)
astrocytes 8,520,0.158,62.0,288,15,5.21,2.74 (2.20-3.27),273,94.79,4.27 (4.07-4.47)
oligodendrocyte progenitor cells 12,708,0.079,31.0,25,4,16.0,3.19 (0.82-5.57),21,84.0,2.79 (1.69-3.89)
oligodendrocytes 10,806,0.231,69.0,261,3,1.15,2.47 (1.30-3.64),258,98.85,4.39 (4.15-4.64)
connective tissue cells 21,139,0.304,48.0,4,3,75.0,3.51 (1.72-5.30),1,25.0,3.52 (NA-NA)
astrocytes 15,1768,0.097,60.0,105,17,16.19,2.03 (1.10-2.96),88,83.81,3.46 (3.13-3.80)
oligodendrocytes 16,121,0.133,3.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,553,0.127,50.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,42,0.384,76.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.14,28.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,613,0.224,94.0,127,11,8.66,3.28 (1.94-4.62),116,91.34,3.01 (2.58-3.45)
microglia 1,958,0.138,83.0,290,16,5.52,2.96 (2.12-3.79),274,94.48,3.87 (3.64-4.11)
oligodendrocytes 3,457,0.115,50.0,345,13,3.77,2.74 (2.29-3.19),332,96.23,4.35 (4.14-4.56)
oligodendrocytes 2,528,0.296,84.0,175,7,4.0,4.24 (2.28-6.21),168,96.0,4.39 (4.03-4.74)
