tipo_celular,module_size,NAPA_MM,NAPA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.123,26.0,71,8,11.27,2.95 (1.99-3.91),63,88.73,2.57 (2.12-3.02)
T cells 18,610,0.138,38.0,98,19,19.39,2.48 (1.80-3.16),79,80.61,3.29 (2.95-3.64)
astrocytes 5,423,0.174,66.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666,0.165,49.0,127,13,10.24,2.03 (1.40-2.66),114,89.76,4.04 (3.70-4.38)
GABA neurons expressing GLU receptors 22,567,0.222,63.0,16,3,18.75,2.54 (1.95-3.14),13,81.25,1.82 (0.99-2.64)
GLU like neurons 17,1247,0.094,21.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,1220,0.138,33.0,410,29,7.07,3.45 (2.84-4.06),381,92.93,4.32 (4.12-4.51)
GABA neurons expressing GABA receptors 13,65,0.202,71.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,586,0.119,26.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,295,0.132,26.0,28,2,7.14,3.78 (3.78-3.78),26,92.86,2.06 (1.60-2.52)
GABA like neurons 14,2402,0.206,43.0,455,31,6.81,3.03 (2.46-3.60),424,93.19,4.46 (4.27-4.65)
astrocytes 8,577,0.101,62.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,708,0.053,13.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,806,0.103,28.0,261,23,8.81,3.59 (2.65-4.54),238,91.19,4.42 (4.18-4.67)
connective tissue cells 21,82,0.514,99.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,261,0.207,79.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,107,0.202,36.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29)
da neurons 6,300,0.064,4.0,159,2,1.26,3.24 (NA-NA),157,98.74,4.37 (4.06-4.68)
astrocytes microglia 23,327,0.365,64.0,120,22,18.33,2.53 (1.85-3.20),98,81.67,3.86 (3.54-4.17)
astrocytes 4,514,0.244,75.0,95,3,3.16,0.90 (0.75-1.04),92,96.84,3.48 (3.05-3.90)
oligodendrocytes 0,2078,0.121,64.0,238,7,2.94,2.99 (1.83-4.16),231,97.06,3.66 (3.43-3.88)
microglia 1,346,0.069,3.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,743,0.046,6.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630,0.172,96.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
