tipo_celular,module_size,PPP3CA_MM,PPP3CA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.191,37.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,388,0.168,59.0,84,14,16.67,3.27 (2.68-3.86),70,83.33,2.91 (2.53-3.29)
astrocytes 5,322,0.185,56.0,58,30,51.72,3.60 (3.17-4.02),28,48.28,4.94 (4.24-5.64)
oligodendrocyte progenitor cells 7,436,0.044,3.0,219,48,21.92,4.57 (4.24-4.91),171,78.08,5.45 (5.09-5.82)
GABA neurons expressing GLU receptors 22,203,0.112,6.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,795,0.174,69.0,80,5,6.25,3.92 (2.69-5.14),75,93.75,5.85 (5.44-6.27)
da like neurons 11,153,0.392,91.0,2,1,50.0,5.80 (NA-NA),1,50.0,NA
GABA neurons expressing GABA receptors 13,200,0.196,77.0,34,2,5.88,3.53 (3.29-3.77),32,94.12,3.92 (2.96-4.88)
endothelial cells 9,658,0.277,72.0,120,47,39.17,3.92 (3.51-4.32),73,60.83,5.15 (4.73-5.57)
oligodendrocytes 20,298,0.164,58.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300,0.156,25.0,306,83,27.12,3.91 (3.56-4.26),223,72.88,5.76 (5.45-6.07)
astrocytes 8,727,0.258,97.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,254,0.243,39.0,37,20,54.05,4.02 (3.30-4.74),17,45.95,5.36 (4.59-6.14)
oligodendrocytes 10,2107,0.39,97.0,358,65,18.16,2.01 (1.78-2.25),293,81.84,4.45 (4.27-4.63)
connective tissue cells 21,82,0.256,40.0,19,1,5.26,NA,18,94.74,7.57 (7.32-7.82)
astrocytes 15,1768,0.134,85.0,105,21,20.0,1.77 (1.39-2.14),84,80.0,3.61 (3.24-3.98)
oligodendrocytes 16,149,0.151,26.0,70,7,10.0,5.06 (4.77-5.35),63,90.0,5.75 (5.20-6.29)
da neurons 6,448,0.256,99.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,229,0.18,11.0,99,22,22.22,4.23 (3.79-4.67),77,77.78,4.32 (3.90-4.74)
astrocytes 4,752,0.139,29.0,96,10,10.42,2.58 (2.28-2.87),86,89.58,3.40 (3.03-3.77)
oligodendrocytes 0,1186,0.19,97.0,300,20,6.67,3.78 (3.31-4.24),280,93.33,3.79 (3.57-4.01)
microglia 1,315,0.136,32.0,144,38,26.39,4.56 (4.08-5.04),106,73.61,4.42 (4.03-4.80)
oligodendrocytes 3,1003,0.19,94.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,348,0.257,71.0,114,32,28.07,4.40 (3.84-4.95),82,71.93,5.49 (4.96-6.02)
