tipo_celular,module_size,MT-CO2_MM,MT-CO2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.289,87.0,73,3,4.11,4.91 (NA-NA),70,95.89,3.54 (3.19-3.89)
T cells 18,506,0.314,78.0,225,21,9.33,3.22 (2.58-3.86),204,90.67,3.66 (3.39-3.93)
astrocytes 5,228,0.279,85.0,266,43,16.17,2.98 (2.47-3.49),223,83.83,4.41 (4.20-4.62)
oligodendrocyte progenitor cells 7,296,0.251,76.0,251,9,3.59,3.15 (2.20-4.10),242,96.41,4.11 (3.86-4.35)
GABA neurons expressing GLU receptors 22,192,0.77,96.0,55,24,43.64,4.18 (3.57-4.79),31,56.36,3.89 (3.31-4.48)
GLU like neurons 17,637,0.257,76.0,91,9,9.89,0.65 (0.26-1.05),82,90.11,5.06 (4.62-5.51)
da like neurons 11,1220,0.4,93.0,410,39,9.51,3.37 (2.86-3.89),371,90.49,4.37 (4.17-4.56)
GABA neurons expressing GABA receptors 13,238,0.256,86.0,36,1,2.78,7.70 (NA-NA),35,97.22,3.75 (3.27-4.23)
endothelial cells 9,338,0.334,91.0,191,9,4.71,3.64 (2.76-4.51),182,95.29,3.90 (3.67-4.13)
oligodendrocytes 20,298,0.131,47.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2402,0.099,8.0,455,39,8.57,2.83 (2.25-3.41),416,91.43,4.52 (4.34-4.71)
astrocytes 8,47,0.77,100.0,76,14,18.42,4.17 (2.96-5.37),62,81.58,4.00 (3.71-4.28)
oligodendrocyte progenitor cells 12,103,0.136,17.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,806,0.413,91.0,261,28,10.73,3.55 (3.06-4.05),233,89.27,4.49 (4.23-4.75)
connective tissue cells 21,101,0.258,25.0,116,34,29.31,3.64 (3.09-4.19),82,70.69,5.24 (4.72-5.76)
astrocytes 15,418,0.284,69.0,54,25,46.3,3.74 (3.18-4.31),29,53.7,3.63 (2.95-4.30)
oligodendrocytes 16,149,0.324,82.0,70,4,5.71,6.87 (5.85-7.89),66,94.29,5.57 (5.08-6.07)
da neurons 6,553,0.321,97.0,124,3,2.42,1.26 (-0.42-2.94),121,97.58,4.25 (3.86-4.64)
astrocytes microglia 23,46,0.787,98.0,73,35,47.95,3.79 (3.26-4.33),38,52.05,4.33 (4.00-4.65)
astrocytes 4,157,0.576,100.0,178,40,22.47,3.22 (2.65-3.78),138,77.53,4.52 (4.25-4.79)
oligodendrocytes 0,116,0.648,100.0,169,13,7.69,4.07 (2.90-5.25),156,92.31,4.30 (3.99-4.60)
microglia 1,214,0.327,85.0,227,36,15.86,3.72 (3.24-4.21),191,84.14,4.18 (3.91-4.45)
oligodendrocytes 3,32,0.82,100.0,81,37,45.68,3.77 (3.25-4.29),44,54.32,4.28 (3.96-4.60)
oligodendrocytes 2,99,0.622,100.0,116,10,8.62,4.22 (2.96-5.49),106,91.38,3.92 (3.62-4.22)
