tipo_celular,module_size,UCHL1_MM,UCHL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.49,98.0,140,1,0.71,NA,139,99.29,4.51 (4.08-4.93)
T cells 18,282,0.523,98.0,241,4,1.66,4.85 (2.17-7.53),237,98.34,4.04 (3.79-4.29)
astrocytes 5,228,0.548,99.0,266,18,6.77,3.17 (1.78-4.56),248,93.23,4.18 (3.98-4.38)
oligodendrocyte progenitor cells 7,296,0.517,98.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848,0.333,82.0,262,23,8.78,3.61 (2.79-4.43),239,91.22,4.22 (3.96-4.48)
GLU like neurons 17,1316,0.218,96.0,101,11,10.89,4.67 (3.31-6.03),90,89.11,2.92 (2.57-3.27)
da like neurons 11,1220,0.613,100.0,410,26,6.34,4.10 (3.48-4.72),384,93.66,4.26 (4.06-4.46)
GABA neurons expressing GABA receptors 13,417,0.262,93.0,213,30,14.08,2.30 (1.73-2.87),183,85.92,4.06 (3.82-4.30)
endothelial cells 9,338,0.579,100.0,191,5,2.62,6.51 (5.76-7.25),186,97.38,3.81 (3.60-4.03)
oligodendrocytes 20,938,0.235,88.0,169,18,10.65,3.33 (2.64-4.03),151,89.35,3.50 (3.27-3.73)
GABA like neurons 14,2402,0.736,100.0,455,40,8.79,3.06 (2.44-3.68),415,91.21,4.50 (4.32-4.69)
astrocytes 8,520,0.56,99.0,288,26,9.03,4.20 (3.48-4.91),262,90.97,4.17 (3.96-4.38)
oligodendrocyte progenitor cells 12,3303,0.139,97.0,276,47,17.03,2.97 (2.54-3.40),229,82.97,3.68 (3.43-3.92)
oligodendrocytes 10,806,0.69,100.0,261,3,1.15,1.29 (NA-NA),258,98.85,4.38 (4.14-4.62)
connective tissue cells 21,101,0.558,95.0,116,3,2.59,2.14 (0.67-3.61),113,97.41,4.70 (4.29-5.12)
astrocytes 15,261,0.139,45.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,313,0.641,100.0,291,14,4.81,4.81 (3.59-6.02),277,95.19,4.30 (4.07-4.53)
da neurons 6,409,0.356,99.0,235,11,4.68,3.39 (1.74-5.03),224,95.32,4.00 (3.75-4.25)
astrocytes microglia 23,70,0.555,96.0,76,2,2.63,NA,74,97.37,4.20 (3.69-4.72)
astrocytes 4,157,0.488,95.0,178,17,9.55,3.32 (1.82-4.82),161,90.45,4.23 (3.98-4.49)
oligodendrocytes 0,116,0.415,90.0,169,1,0.59,6.49 (NA-NA),168,99.41,4.26 (3.96-4.56)
microglia 1,214,0.538,99.0,227,2,0.88,1.29 (NA-NA),225,99.12,4.11 (3.87-4.34)
oligodendrocytes 3,457,0.546,100.0,345,27,7.83,4.56 (3.94-5.18),318,92.17,4.24 (4.02-4.46)
oligodendrocytes 2,99,0.434,85.0,116,2,1.72,3.48 (3.47-3.49),114,98.28,3.97 (3.66-4.27)
