tipo_celular,module_size,UBB_MM,UBB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.301,84.0,140,15,10.71,4.26 (3.32-5.19),125,89.29,4.55 (4.08-5.02)
T cells 18,282,0.312,89.0,241,11,4.56,4.55 (3.74-5.36),230,95.44,4.02 (3.76-4.28)
astrocytes 5,228,0.373,93.0,266,61,22.93,3.48 (2.95-4.01),205,77.07,4.33 (4.13-4.54)
oligodendrocyte progenitor cells 7,628,0.362,95.0,164,21,12.8,4.03 (3.47-4.59),143,87.2,4.09 (3.72-4.47)
GABA neurons expressing GLU receptors 22,848,0.35,85.0,262,65,24.81,4.39 (3.88-4.90),197,75.19,4.06 (3.78-4.33)
GLU like neurons 17,685,0.191,75.0,135,45,33.33,2.88 (2.43-3.32),90,66.67,3.36 (2.96-3.76)
da like neurons 11,1220,0.629,100.0,410,65,15.85,3.88 (3.51-4.24),345,84.15,4.33 (4.12-4.55)
GABA neurons expressing GABA receptors 13,417,0.283,95.0,213,48,22.54,2.63 (2.05-3.20),165,77.46,4.10 (3.86-4.34)
endothelial cells 9,916,0.379,83.0,302,31,10.26,3.84 (3.17-4.52),271,89.74,4.00 (3.76-4.24)
oligodendrocytes 20,938,0.14,57.0,169,46,27.22,3.36 (2.95-3.77),123,72.78,3.53 (3.27-3.79)
GABA like neurons 14,2402,0.711,99.0,455,78,17.14,3.40 (3.00-3.80),377,82.86,4.59 (4.39-4.79)
astrocytes 8,520,0.432,97.0,288,60,20.83,3.62 (3.27-3.97),228,79.17,4.34 (4.11-4.58)
oligodendrocyte progenitor cells 12,1049,0.209,86.0,235,27,11.49,3.98 (3.40-4.57),208,88.51,3.80 (3.55-4.05)
oligodendrocytes 10,806,0.509,96.0,261,48,18.39,4.36 (3.73-5.00),213,81.61,4.37 (4.11-4.62)
connective tissue cells 21,101,0.379,67.0,116,28,24.14,3.46 (2.66-4.27),88,75.86,5.06 (4.63-5.50)
astrocytes 15,367,0.137,46.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,313,0.395,86.0,291,38,13.06,3.85 (3.32-4.39),253,86.94,4.41 (4.16-4.65)
da neurons 6,409,0.305,95.0,235,17,7.23,3.27 (2.42-4.12),218,92.77,4.04 (3.78-4.30)
astrocytes microglia 23,70,0.315,48.0,76,6,7.89,6.09 (4.25-7.92),70,92.11,4.00 (3.50-4.50)
astrocytes 4,157,0.314,83.0,178,45,25.28,3.27 (2.58-3.95),133,74.72,4.46 (4.21-4.71)
oligodendrocytes 0,546,0.333,94.0,252,71,28.17,3.43 (2.97-3.89),181,71.83,4.40 (4.12-4.69)
microglia 1,214,0.387,91.0,227,22,9.69,3.86 (3.13-4.59),205,90.31,4.12 (3.87-4.37)
oligodendrocytes 3,457,0.419,97.0,345,51,14.78,3.88 (3.43-4.33),294,85.22,4.35 (4.12-4.59)
oligodendrocytes 2,526,0.467,90.0,213,17,7.98,5.14 (4.36-5.92),196,92.02,3.87 (3.59-4.16)
