tipo_celular,module_size,DLG2_MM,DLG2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.459,90.0,15,7,46.67,5.00 (4.44-5.56),8,53.33,6.45 (5.53-7.37)
T cells 18,349,0.545,94.0,68,18,26.47,3.34 (2.47-4.21),50,73.53,4.75 (4.10-5.41)
astrocytes 5,165,0.142,29.0,51,4,7.84,6.20 (3.26-9.13),47,92.16,5.30 (4.61-5.99)
oligodendrocyte progenitor cells 7,436,0.24,93.0,219,28,12.79,5.14 (4.77-5.52),191,87.21,5.22 (4.89-5.55)
GABA neurons expressing GLU receptors 22,459,0.373,96.0,165,23,13.94,4.10 (3.16-5.04),142,86.06,5.25 (4.88-5.61)
GLU like neurons 17,637,0.291,81.0,91,9,9.89,2.10 (0.95-3.25),82,90.11,4.91 (4.40-5.43)
da like neurons 11,191,0.313,57.0,93,26,27.96,4.53 (4.06-4.99),67,72.04,6.20 (5.72-6.68)
GABA neurons expressing GABA receptors 13,288,0.486,97.0,93,18,19.35,4.10 (3.09-5.11),75,80.65,5.38 (4.83-5.93)
endothelial cells 9,450,0.509,88.0,74,17,22.97,5.54 (4.72-6.36),57,77.03,5.44 (4.78-6.11)
oligodendrocytes 20,676,0.45,74.0,110,18,16.36,4.40 (3.19-5.60),92,83.64,5.09 (4.61-5.57)
GABA like neurons 14,1300,0.304,89.0,306,55,17.97,3.85 (3.37-4.33),251,82.03,5.44 (5.15-5.73)
astrocytes 8,771,0.468,91.0,48,2,4.17,0.79 (NA-NA),46,95.83,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708,0.193,75.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204,0.635,98.0,92,13,14.13,4.74 (3.70-5.79),79,85.87,5.88 (5.37-6.40)
connective tissue cells 21,250,0.148,5.0,117,18,15.38,4.63 (3.62-5.64),99,84.62,5.49 (5.07-5.92)
astrocytes 15,458,0.148,73.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85)
oligodendrocytes 16,199,0.183,63.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,398,0.492,96.0,138,20,14.49,3.56 (2.69-4.43),118,85.51,5.05 (4.66-5.44)
astrocytes microglia 23,122,0.267,42.0,46,6,13.04,4.98 (4.42-5.54),40,86.96,5.04 (4.39-5.69)
astrocytes 4,102,0.105,3.0,42,7,16.67,5.95 (4.70-7.19),35,83.33,5.63 (4.81-6.45)
oligodendrocytes 0,479,0.157,57.0,40,3,7.5,5.20 (4.68-5.73),37,92.5,5.93 (5.37-6.49)
microglia 1,127,0.346,78.0,24,10,41.67,4.79 (3.40-6.19),14,58.33,5.39 (4.59-6.18)
oligodendrocytes 3,187,0.138,70.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,237,0.393,96.0,26,2,7.69,4.70 (NA-NA),24,92.31,5.28 (4.24-6.31)
