tipo_celular,module_size,FTL_MM,FTL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.456,86.0,98,9,9.18,2.65 (1.21-4.09),89,90.82,3.26 (2.76-3.75)
T cells 18,506,0.451,91.0,225,17,7.56,2.73 (1.84-3.62),208,92.44,3.66 (3.40-3.91)
astrocytes 5,328,0.517,99.0,128,1,0.78,3.77 (NA-NA),127,99.22,3.57 (3.22-3.91)
oligodendrocyte progenitor cells 7,628,0.429,99.0,164,13,7.93,3.88 (3.10-4.67),151,92.07,4.11 (3.75-4.46)
GABA neurons expressing GLU receptors 22,487,0.369,88.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,685,0.423,98.0,135,10,7.41,2.16 (1.32-3.01),125,92.59,3.25 (2.93-3.56)
da like neurons 11,1220,0.454,96.0,410,28,6.83,3.57 (2.91-4.24),382,93.17,4.29 (4.09-4.48)
GABA neurons expressing GABA receptors 13,417,0.254,91.0,213,22,10.33,2.03 (1.31-2.75),191,89.67,3.97 (3.73-4.21)
endothelial cells 9,916,0.612,99.0,302,11,3.64,2.52 (1.26-3.79),291,96.36,4.02 (3.79-4.25)
oligodendrocytes 20,938,0.545,100.0,169,19,11.24,2.73 (1.87-3.60),150,88.76,3.54 (3.31-3.76)
GABA like neurons 14,2402,0.603,95.0,455,31,6.81,2.48 (1.69-3.27),424,93.19,4.46 (4.28-4.65)
astrocytes 8,603,0.494,100.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,1049,0.448,98.0,235,17,7.23,3.54 (3.04-4.04),218,92.77,3.84 (3.60-4.09)
oligodendrocytes 10,483,0.423,92.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,301,0.688,99.0,158,13,8.23,3.53 (2.26-4.80),145,91.77,4.31 (3.93-4.69)
astrocytes 15,458,0.119,63.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85)
oligodendrocytes 16,287,0.218,31.0,105,0,0.0,NA,105,100.0,5.07 (4.63-5.52)
da neurons 6,729,0.334,98.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,137,0.723,100.0,188,12,6.38,2.28 (1.42-3.15),176,93.62,4.55 (4.20-4.89)
astrocytes 4,208,0.554,99.0,173,16,9.25,3.98 (3.75-4.21),157,90.75,3.78 (3.46-4.10)
oligodendrocytes 0,546,0.606,100.0,252,35,13.89,2.44 (1.87-3.01),217,86.11,4.34 (4.09-4.59)
microglia 1,406,0.694,100.0,278,6,2.16,3.83 (3.79-3.88),272,97.84,4.37 (4.10-4.65)
oligodendrocytes 3,127,0.583,97.0,45,1,2.22,NA,44,97.78,4.32 (3.47-5.16)
oligodendrocytes 2,526,0.786,100.0,213,1,0.47,NA,212,99.53,3.98 (3.70-4.25)
