tipo_celular,module_size,RPLP2_MM,RPLP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.551,97.0,98,26,26.53,2.69 (2.09-3.28),72,73.47,3.42 (2.81-4.02)
T cells 18,506,0.37,83.0,225,28,12.44,2.88 (2.32-3.45),197,87.56,3.72 (3.45-3.99)
astrocytes 5,328,0.39,93.0,128,10,7.81,3.70 (3.13-4.26),118,92.19,3.56 (3.18-3.93)
oligodendrocyte progenitor cells 7,448,0.401,97.0,108,9,8.33,3.57 (3.00-4.15),99,91.67,3.22 (2.74-3.70)
GABA neurons expressing GLU receptors 22,487,0.365,87.0,73,15,20.55,2.88 (2.19-3.56),58,79.45,2.72 (2.26-3.18)
GLU like neurons 17,1316,0.104,32.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220,0.141,34.0,410,22,5.37,3.05 (2.41-3.68),388,94.63,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,417,0.217,77.0,213,34,15.96,2.32 (1.73-2.92),179,84.04,4.04 (3.80-4.28)
endothelial cells 9,916,0.624,99.0,302,15,4.97,3.31 (2.51-4.10),287,95.03,4.02 (3.79-4.25)
oligodendrocytes 20,938,0.261,91.0,169,24,14.2,3.01 (2.35-3.67),145,85.8,3.55 (3.32-3.78)
GABA like neurons 14,2402,0.594,95.0,455,32,7.03,2.15 (1.56-2.74),423,92.97,4.52 (4.34-4.70)
astrocytes 8,603,0.27,96.0,89,17,19.1,2.67 (1.98-3.35),72,80.9,2.79 (2.38-3.20)
oligodendrocyte progenitor cells 12,1049,0.504,99.0,235,18,7.66,3.36 (2.83-3.89),217,92.34,3.86 (3.61-4.10)
oligodendrocytes 10,483,0.427,93.0,129,14,10.85,3.77 (3.30-4.24),115,89.15,3.39 (2.95-3.82)
connective tissue cells 21,301,0.511,80.0,158,13,8.23,2.86 (2.11-3.61),145,91.77,4.43 (4.04-4.82)
astrocytes 15,367,0.106,25.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,113,0.215,82.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,729,0.277,93.0,182,16,8.79,2.74 (2.06-3.41),166,91.21,3.72 (3.46-3.99)
astrocytes microglia 23,137,0.385,62.0,188,24,12.77,2.44 (1.85-3.02),164,87.23,4.74 (4.39-5.09)
astrocytes 4,208,0.178,38.0,173,11,6.36,3.57 (3.00-4.15),162,93.64,3.81 (3.49-4.13)
oligodendrocytes 0,546,0.274,85.0,252,35,13.89,2.29 (1.74-2.85),217,86.11,4.40 (4.16-4.65)
microglia 1,406,0.589,98.0,278,8,2.88,3.69 (3.08-4.30),270,97.12,4.39 (4.11-4.67)
oligodendrocytes 3,303,0.258,89.0,154,11,7.14,3.70 (3.13-4.26),143,92.86,3.61 (3.27-3.95)
oligodendrocytes 2,526,0.394,82.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28)
