tipo_celular,module_size,WDR82_MM,WDR82_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.124,20.0,102,27,26.47,2.24 (1.84-2.64),75,73.53,3.99 (3.56-4.41)
T cells 18,506,0.089,7.0,225,9,4.0,2.07 (1.24-2.89),216,96.0,3.70 (3.45-3.95)
astrocytes 5,1656,0.115,49.0,136,6,4.41,2.55 (1.33-3.76),130,95.59,3.24 (2.97-3.52)
oligodendrocyte progenitor cells 7,4285,0.118,25.0,353,60,17.0,2.24 (1.90-2.58),293,83.0,4.33 (4.15-4.51)
GABA neurons expressing GLU receptors 22,823,0.075,3.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,1316,0.106,34.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220,0.116,22.0,410,5,1.22,1.99 (0.76-3.23),405,98.78,4.29 (4.10-4.47)
GABA neurons expressing GABA receptors 13,238,0.122,24.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,412,0.086,10.0,141,7,4.96,1.77 (1.16-2.38),134,95.04,3.03 (2.78-3.28)
oligodendrocytes 20,358,0.186,64.0,31,1,3.23,NA,30,96.77,2.36 (1.93-2.79)
GABA like neurons 14,2402,0.269,60.0,455,24,5.27,1.64 (1.16-2.12),431,94.73,4.56 (4.38-4.73)
astrocytes 8,354,0.054,13.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303,0.101,75.0,276,48,17.39,2.28 (1.94-2.61),228,82.61,3.90 (3.66-4.13)
oligodendrocytes 10,735,0.094,49.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,142,0.234,11.0,55,8,14.55,1.78 (0.66-2.90),47,85.45,4.07 (3.12-5.02)
astrocytes 15,377,0.194,78.0,14,5,35.71,1.37 (0.15-2.58),9,64.29,2.90 (0.82-4.99)
oligodendrocytes 16,84,0.163,38.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,448,0.176,91.0,43,6,13.95,3.78 (3.48-4.08),37,86.05,3.18 (2.56-3.80)
astrocytes microglia 23,134,0.296,43.0,2,1,50.0,3.34 (NA-NA),1,50.0,0.82 (NA-NA)
astrocytes 4,1807,0.158,74.0,104,29,27.88,1.98 (1.57-2.40),75,72.12,3.24 (2.92-3.56)
oligodendrocytes 0,2078,0.127,76.0,238,16,6.72,3.11 (2.37-3.84),222,93.28,3.68 (3.45-3.91)
microglia 1,958,0.116,57.0,290,16,5.52,3.36 (2.51-4.22),274,94.48,3.85 (3.61-4.08)
oligodendrocytes 3,743,0.066,27.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630,0.161,86.0,154,5,3.25,4.45 (4.40-4.50),149,96.75,3.22 (2.95-3.49)
