tipo_celular,module_size,EXOC2_MM,EXOC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.221,82.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,610,0.208,85.0,98,11,11.22,2.07 (1.13-3.02),87,88.78,3.25 (2.93-3.58)
astrocytes 5,1141,0.109,21.0,166,8,4.82,2.34 (0.64-4.04),158,95.18,3.43 (3.18-3.68)
oligodendrocyte progenitor cells 7,4285,0.129,40.0,353,25,7.08,2.71 (2.02-3.41),328,92.92,3.99 (3.80-4.18)
GABA neurons expressing GLU receptors 22,714,0.155,34.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,685,0.135,54.0,135,7,5.19,1.31 (0.46-2.17),128,94.81,3.26 (2.95-3.57)
da like neurons 11,97,0.494,97.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,86,0.253,97.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,1653,0.17,79.0,297,9,3.03,3.59 (3.05-4.12),288,96.97,3.68 (3.47-3.88)
oligodendrocytes 20,403,0.041,10.0,18,3,16.67,1.49 (0.27-2.72),15,83.33,1.95 (1.17-2.74)
GABA like neurons 14,3052,0.166,73.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68)
astrocytes 8,262,0.17,66.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303,0.134,95.0,276,13,4.71,2.62 (1.80-3.43),263,95.29,3.60 (3.38-3.83)
oligodendrocytes 10,2107,0.085,20.0,358,28,7.82,2.65 (1.96-3.34),330,92.18,3.98 (3.79-4.18)
connective tissue cells 21,102,0.358,88.0,5,0,0.0,NA,5,100.0,1.38 (1.02-1.75)
astrocytes 15,458,0.067,31.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,112,0.166,45.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,518,0.113,54.0,122,12,9.84,1.67 (1.26-2.09),110,90.16,4.33 (3.93-4.73)
astrocytes microglia 23,58,0.359,83.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.189,97.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43)
oligodendrocytes 0,1186,0.139,39.0,300,8,2.67,3.12 (2.65-3.59),292,97.33,3.81 (3.60-4.02)
microglia 1,1615,0.106,45.0,161,11,6.83,1.74 (0.90-2.58),150,93.17,3.40 (3.13-3.67)
oligodendrocytes 3,854,0.118,77.0,76,2,2.63,2.13 (-1.64-5.89),74,97.37,2.80 (2.47-3.13)
oligodendrocytes 2,804,0.128,21.0,84,8,9.52,1.08 (0.51-1.66),76,90.48,2.82 (2.48-3.16)
