tipo_celular,module_size,ALCAM_MM,ALCAM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.211,60.0,15,7,46.67,5.71 (4.80-6.62),8,53.33,5.93 (4.70-7.17)
T cells 18,349,0.29,78.0,68,23,33.82,4.75 (3.66-5.84),45,66.18,4.11 (3.54-4.68)
astrocytes 5,165,0.134,26.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,4285,0.05,1.0,353,8,2.27,0.98 (0.50-1.47),345,97.73,3.98 (3.80-4.16)
GABA neurons expressing GLU receptors 22,567,0.388,91.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1316,0.145,68.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,289,0.313,91.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,265,0.261,87.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,450,0.514,88.0,74,19,25.68,5.67 (4.63-6.71),55,74.32,5.38 (4.72-6.04)
oligodendrocytes 20,228,0.119,19.0,5,1,20.0,1.95 (NA-NA),4,80.0,3.58 (0.93-6.24)
GABA like neurons 14,2402,0.052,1.0,455,13,2.86,1.95 (0.64-3.26),442,97.14,4.39 (4.21-4.58)
astrocytes 8,771,0.319,82.0,48,7,14.58,6.85 (4.45-9.25),41,85.42,3.99 (3.30-4.68)
oligodendrocyte progenitor cells 12,411,0.078,41.0,103,19,18.45,5.64 (4.47-6.81),84,81.55,5.53 (5.13-5.93)
oligodendrocytes 10,204,0.191,13.0,92,5,5.43,4.52 (2.46-6.59),87,94.57,5.82 (5.34-6.29)
connective tissue cells 21,183,0.384,82.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,1768,0.16,94.0,105,6,5.71,1.16 (0.57-1.75),99,94.29,3.35 (3.01-3.68)
oligodendrocytes 16,86,0.142,20.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,228,0.278,96.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,166,0.128,2.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,220,0.146,37.0,63,21,33.33,5.11 (4.15-6.08),42,66.67,5.14 (4.44-5.84)
oligodendrocytes 0,309,0.073,2.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,958,0.145,88.0,290,5,1.72,1.23 (0.82-1.64),285,98.28,3.87 (3.64-4.10)
oligodendrocytes 3,99,0.048,0.0,24,9,37.5,7.63 (6.86-8.39),15,62.5,5.70 (4.98-6.42)
oligodendrocytes 2,348,0.124,11.0,114,39,34.21,5.07 (4.33-5.81),75,65.79,5.14 (4.64-5.63)
