tipo_celular,module_size,SAFB_MM,SAFB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.228,63.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,518,0.125,27.0,131,3,2.29,3.36 (2.01-4.71),128,97.71,3.07 (2.79-3.35)
astrocytes 5,932,0.072,4.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.151,74.0,353,49,13.88,1.97 (1.66-2.28),304,86.12,4.30 (4.13-4.48)
GABA neurons expressing GLU receptors 22,714,0.235,75.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,685,0.08,15.0,135,20,14.81,1.82 (1.30-2.34),115,85.19,3.48 (3.16-3.81)
da like neurons 11,853,0.067,4.0,133,46,34.59,2.18 (1.81-2.56),87,65.41,3.96 (3.59-4.33)
GABA neurons expressing GABA receptors 13,88,0.065,0.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,385,0.049,3.0,275,41,14.91,2.00 (1.59-2.40),234,85.09,4.47 (4.22-4.73)
oligodendrocytes 20,938,0.039,8.0,169,4,2.37,0.95 (0.27-1.63),165,97.63,3.56 (3.34-3.77)
GABA like neurons 14,3052,0.12,33.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266,0.056,22.0,66,17,25.76,1.89 (0.99-2.80),49,74.24,3.70 (3.32-4.08)
oligodendrocyte progenitor cells 12,3303,0.053,19.0,276,38,13.77,1.93 (1.70-2.17),238,86.23,3.89 (3.66-4.11)
oligodendrocytes 10,2107,0.109,33.0,358,55,15.36,2.10 (1.72-2.49),303,84.64,4.31 (4.13-4.49)
connective tissue cells 21,139,0.306,50.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,458,0.078,40.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,69,0.325,93.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.088,25.0,122,9,7.38,1.50 (0.74-2.26),113,92.62,4.25 (3.87-4.64)
astrocytes microglia 23,114,0.256,20.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.16,68.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.123,20.0,300,3,1.0,4.55 (2.22-6.88),297,99.0,3.78 (3.58-3.99)
microglia 1,958,0.102,36.0,290,10,3.45,2.78 (1.52-4.04),280,96.55,3.86 (3.63-4.09)
oligodendrocytes 3,1003,0.063,14.0,111,3,2.7,3.90 (2.39-5.42),108,97.3,3.28 (2.93-3.63)
oligodendrocytes 2,921,0.138,51.0,200,8,4.0,3.71 (2.34-5.08),192,96.0,3.62 (3.35-3.89)
